item_id,arxiv_id,corruption
a2-0163,2603.05912,REASON_SWAP
a2-0164,2506.21506,none
a2-0165,2512.20469,none
a2-0166,2508.04183,none
a2-0167,2511.16931,none
a2-0168,2606.11337,none
a2-0169,2510.05145,none
a2-0170,2607.11084,none
a2-0171,2510.17797,none
a2-0172,2510.11851,none
a2-0173,2604.06474,none
a2-0174,2411.02382,none
a2-0175,2407.16083,none
a2-0176,2506.23692,none
a2-0177,2606.30335,none
a2-0178,2603.17179,none
a2-0179,2603.27416,none
a2-0180,2505.03049,none
a2-0181,2607.16127,none
a2-0182,2606.26722,none
a2-0183,2510.16082,CODE_DRIFT
a2-0184,2510.18939,none
a2-0185,2512.01089,none
a2-0186,2602.21201,none
a2-0187,2606.25532,none
a2-0188,2402.12391,none
a2-0189,2604.04324,none
a2-0190,2607.14097,none
a2-0191,2602.02905,none
a2-0192,2505.21396,none
a2-0193,2603.19782,none
a2-0194,2603.21728,none
a2-0195,2505.19209,none
a2-0196,2505.11855,FLIP
a2-0197,2506.22026,none
a2-0198,2604.18805,none
a2-0199,2603.17216,none
