arxiv_id,title,first_submitted,primary_category,D1,D2,D3,D4,D5,D6,D7_code,D7_data,D8,D9,needs_fulltext,evidence
2404.12899,Bayesian Co-navigation: Dynamic Designing of the Materials Digital Twins via Active Learning,2024-04-19,cond-mat.mtrl-sci,FRAMEWORK,NA,EXP_DESIGN;EXECUTION;ANALYSIS,MATERIALS,BENCHMARK_METRIC,REPRO_ARTIFACTS;UNCERTAINTY,YES,NO,METHOD,UNSPECIFIED,1,'we introduce a method for integrating theory into the loop through Bayesian co-navigation'; 'minimize epistemic uncertainty over the experimental object spaces'; 'analysis code ... publicly available'. Whether the ferroelectric demonstration was live wet/instrument experiment or archived data is unclear.
2405.06724,Boolean matrix logic programming for active learning of gene functions in genome-scale metabolic network models,2024-05-10,q-bio.MN,SYSTEM,L1_STAGE,EXP_DESIGN;ANALYSIS,BIOMED,BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,CO_PERFORMER,1,"'We developed a new system, BMLP_active, which guides cost-effective experimentation'; 'successfully learned the interaction between a gene pair with fewer training examples than random experimentation'; 'offers a realistic approach to creating a self-driving lab' — i.e. wet-lab loop not itself demonstrated; who executes experiments is unclear."
2405.12300,Integration of Scanning Probe Microscope with High-Performance Computing: fixed-policy and reward-driven workflows implementation,2024-05-20,cond-mat.mtrl-sci,SYSTEM,L1_STAGE,EXECUTION,MATERIALS,NONE,NONE,NO,NO,METHOD,UNSPECIFIED,1,'we build a Python interface library that enables controlling an SPM from either a local computer or a remote high-performance computer'; 'general platform to abstract the operations of SPM ... into fixed-policy or reward-driven workflows' - infrastructure artifact; no empirical evaluation reported and level of demonstrated autonomy unclear.
2405.13352,"""Turing Tests"" For An AI Scientist",2024-05-22,cs.AI,BENCHMARK,NA,IDEATION;ANALYSIS,MULTI,NONE,NONE,NO,NO,METHOD,UNSPECIFIED,0,'we propose seven benchmark tests that evaluate an AI agent's ability to make groundbreaking discoveries in various scientific domains'; no system built or agents run.
2405.17631,BioDiscoveryAgent: An AI Agent for Designing Genetic Perturbation Experiments,2024-05-27,cs.AI,SYSTEM,L3_CLOSED_LOOP,IDEATION;LITERATURE;EXP_DESIGN;ANALYSIS,BIOMED,BENCHMARK_METRIC,TRACES,NO,NO,CAPABILITY,NONE_CLAIMED,0,"'an agent that designs new experiments, reasons about their outcomes, and efficiently navigates the hypothesis space'; 'in the context of closed-loop experiment design'; 'BioDiscoveryAgent is interpretable at every stage'."
2405.20477,Automated Focused Feedback Generation for Scientific Writing Assistance,2024-05-30,cs.CL,SYSTEM,L1_STAGE,REVIEW,GENERAL_ML,HUMAN_EXPERT,NONE,NO,NO,CAPABILITY,EVALUATOR,1,'We present SWIF$^{2}$T: a Scientific WrIting Focused Feedback Tool'; 'conduct human evaluation'; scientific field of the reviewed papers not specified in abstract.
2406.06769,DISCOVERYWORLD: A Virtual Environment for Developing and Evaluating Automated Scientific Discovery Agents,2024-06-10,cs.AI,BENCHMARK,NA,IDEATION;EXP_DESIGN;EXECUTION;ANALYSIS,MULTI,BENCHMARK_METRIC,REPRO_ARTIFACTS,YES,YES,METHOD,UNSPECIFIED,0,'the first virtual environment for developing and benchmarking an agent's ability to perform complete cycles of novel scientific discovery'; 'three automatic metrics'; 'Code available at: www.github.com/allenai/discoveryworld'.
2406.10291,ResearchArena: Benchmarking Large Language Models' Ability to Collect and Organize Information as Research Agents,2024-06-13,cs.AI,BENCHMARK,NA,LITERATURE,OTHER,BENCHMARK_METRIC,REPRO_ARTIFACTS,YES,PARTIAL,METHOD,UNSPECIFIED,0,"'ResearchArena, a benchmark designed to evaluate LLMs' capabilities in conducting academic surveys'; 'we do not redistribute copyrighted materials; instead, we provide code to construct the environment'."
2406.13163,LLMatDesign: Autonomous Materials Discovery with Large Language Models,2024-06-19,cond-mat.mtrl-sci,SYSTEM,L3_CLOSED_LOOP,IDEATION;EXP_DESIGN;EXECUTION;ANALYSIS,MATERIALS,BENCHMARK_METRIC,TRACES,NO,NO,CAPABILITY,UNSPECIFIED,0,"'LLM agents to translate human instructions, apply modifications to materials, and evaluate outcomes using provided tools'; 'By incorporating self-reflection on its previous decisions'; 'A systematic evaluation ... on several materials design tasks, in silico'."
2407.00466,BioKGBench: A Knowledge Graph Checking Benchmark of AI Agent for Biomedical Science,2024-06-29,cs.CL,BENCHMARK,NA,LITERATURE,BIOMED,BENCHMARK_METRIC,REPRO_ARTIFACTS;PROVENANCE,YES,YES,METHOD,UNSPECIFIED,0,"'introduce BioKGBench'; 'scientific claim verification' and KGQA 'as a form of ""Literature"" grounding'; 'The code and data are available at https://github.com/westlake-autolab/BioKGBench'."
2407.08940,Large Language Models as Biomedical Hypothesis Generators: A Comprehensive Evaluation,2024-07-12,cs.CL,BENCHMARK,NA,IDEATION,BIOMED,LLM_JUDGE;HUMAN_EXPERT;BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,EVALUATOR,0,'we present a comprehensive evaluation of LLMs as biomedical hypothesis generators'; 'four novel metrics ... considering both LLM-based and human assessments'; 'LLMs can generate novel and validated hypotheses'.
2407.10362,LAB-Bench: Measuring Capabilities of Language Models for Biology Research,2024-07-14,cs.AI,BENCHMARK,NA,LITERATURE;EXP_DESIGN;ANALYSIS,BIOMED,BENCHMARK_METRIC;HUMAN_EXPERT,NONE,NO,PARTIAL,METHOD,UNSPECIFIED,0,"'we introduce the Language Agent Biology Benchmark (LAB-Bench)' covering 'literature search, protocol planning, and data analysis'; 'report results compared to human expert biology researchers'; 'A public subset of LAB-Bench is available'."
2407.12857,"Automated Peer Reviewing in Paper SEA: Standardization, Evaluation, and Analysis",2024-07-09,cs.CL,SYSTEM,L1_STAGE,REVIEW,GENERAL_ML,BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,NONE_CLAIMED,0,'we introduce an automated paper reviewing framework SEA' with models SEA-S/E/A; 'a new evaluation metric called mismatch score'; 'Extensive experimental results on datasets collected from eight venues'.
2407.12888,Explainable Biomedical Hypothesis Generation via Retrieval Augmented Generation enabled Large Language Models,2024-07-17,cs.CL,SYSTEM,L0_ASSISTIVE,LITERATURE;IDEATION;ANALYSIS,BIOMED,NONE,PROVENANCE,NO,NO,CAPABILITY,CO_PERFORMER,1,'a comprehensive workflow designed to support investigators with knowledge integration and hypothesis generation'; 'facilitates user-directed mechanism elucidation'; only 'A clinical use-case demonstrates' - no systematic evaluation described.
2407.13993,LLAssist: Simple Tools for Automating Literature Review Using Large Language Models,2024-07-19,cs.DL,SYSTEM,L0_ASSISTIVE,LITERATURE,OTHER,NONE,REPRO_ARTIFACTS,PARTIAL,NO,CAPABILITY,CO_PERFORMER,0,'automate key aspects of the review process' and 'By automating parts of the literature review workflow' - assistive within one stage; 'open-source tool' but no link stated; 'allowing researchers to focus more on analyzing and synthesizing information' - human still performs part of the review.
2407.16083,Self-driving lab discovers principles for steering spontaneous emission,2024-07-22,physics.optics,SYSTEM,L3_CLOSED_LOOP,EXP_DESIGN;EXECUTION;ANALYSIS,PHYSICS,REAL_WORLD,NONE,NO,NO,DISCOVERY,UNSPECIFIED,0,'an active learning agent for guiding experiments with real-time closed-loop feedback'; 'demonstrated a four-fold enhancement in peak emission directivity (up to 77%) ... within ~300 experiments'; 'We discover that both the spatial gradient ... are key factors'.
2408.05086,A systematic framework for generating novel experimental hypotheses from language models,2024-08-09,cs.CL,FRAMEWORK,NA,IDEATION;EXP_DESIGN,SOCIAL_SCI,NONE,NONE,NO,NO,METHOD,CO_PERFORMER,0,"'we propose a systematic framework for hypothesis generation that uses LMs to simulate outcomes of experiments'; 'we also design a set of experiments that can test these hypotheses in the lab with children' - hypotheses remain 'novel, untested'."
2408.06292,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,2024-08-12,cs.AI,SYSTEM,L4_FULL,IDEATION;EXP_DESIGN;EXECUTION;ANALYSIS;WRITING;REVIEW,GENERAL_ML,LLM_JUDGE,REPRO_ARTIFACTS,YES,NO,CAPABILITY,NONE_CLAIMED,0,"'first comprehensive framework for fully automatic scientific discovery'; 'generates novel research ideas, writes code, executes experiments, visualizes results ... writing a full scientific paper, and then runs a simulated review process'; 'we design and validate an automated reviewer'; 'Our code is open-sourced at https://github.com/SakanaAI/AI-Scientist'."
2408.14033,MLR-Copilot: Autonomous Machine Learning Research based on Large Language Models Agents,2024-08-26,cs.AI,SYSTEM,L2_PIPELINE,IDEATION;EXP_DESIGN;EXECUTION,GENERAL_ML,BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,CO_PERFORMER,0,"'three stages: idea generation, experiment implementation, and code execution'; 'allows subsequent iterations of debugging and human feedback'; 'We evaluate our framework on five machine learning research tasks'."
2408.14487,Active learning of digenic functions with boolean matrix logic programming,2024-08-19,cs.AI,SYSTEM,L1_STAGE,EXP_DESIGN;ANALYSIS,BIOMED,BENCHMARK_METRIC,NONE,NO,NO,METHOD,UNSPECIFIED,1,'efficiently explores the genomic hypothesis space by guiding informative experimentation through active learning'; 'can successfully learn the interaction between a gene pair with fewer training examples than random experimentation'; self-driving lab is aspirational ('offers a realistic approach to a self-driving lab').
2409.02604,Context-Aware Reasoning On Parametric Knowledge for Inferring Causal Variables,2024-09-04,cs.LG,BENCHMARK,NA,NA,GENERAL_ML,BENCHMARK_METRIC,NONE,NO,NO,METHOD,NONE_CLAIMED,0,'We introduce a novel benchmark where the objective is to complete a partial causal graph ... with over 4000 queries'.
2409.04109,Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,2024-09-06,cs.CL,BENCHMARK,NA,IDEATION,GENERAL_ML,HUMAN_EXPERT,NONE,NO,NO,CAPABILITY,EVALUATOR,0,'establishing an experimental design that evaluates research idea generation'; 'recruiting over 100 NLP researchers to write novel ideas and blind reviews'; 'LLM-generated ideas are judged as more novel (p < 0.05)'.
2409.05258,Towards Automated Machine Learning Research,2024-09-09,cs.LG,FRAMEWORK,NA,IDEATION;EXECUTION;ANALYSIS,GENERAL_ML,NONE,NONE,NO,NO,METHOD,UNSPECIFIED,0,"'This paper explores a top-down approach'; 'Our framework systematically generates novel components, validates their feasibility, and evaluates their performance against existing baselines'; 'We hope this approach offers a new avenue' - no reported empirical results."
2409.05556,SciAgents: Automating scientific discovery through multi-agent intelligent graph reasoning,2024-09-09,cs.AI,SYSTEM,L3_CLOSED_LOOP,IDEATION;LITERATURE;REVIEW,MATERIALS,NONE,NONE,NO,NO,DISCOVERY,UNSPECIFIED,1,"D1 SYSTEM: 'we present SciAgents, an approach that leverages ... multi-agent systems with in-situ learning capabilities' - the artifact is the contribution. D2 L3_CLOSED_LOOP: 'The framework autonomously generates and refines research hypotheses' and the system can 'critique and improve existing hypotheses' with no human approval gate stated; loop spans ideation-retrieval-critique. L2 vs L3 bounda"
2409.11363,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,2024-09-17,cs.CL,BENCHMARK,NA,EXECUTION,MULTI,BENCHMARK_METRIC,REPRO_ARTIFACTS,NO,PARTIAL,METHOD,NONE_CLAIMED,0,"'CORE-Bench ... 270 tasks based on 90 scientific papers across three disciplines (computer science, social science, and medicine)'; 'We provide an evaluation system to measure the accuracy of agents'; 'The best agent achieved an accuracy of 21%'."
2409.14913,Towards a Realistic Long-Term Benchmark for Open-Web Research Agents,2024-09-23,cs.CL,BENCHMARK,NA,LITERATURE,OTHER,BENCHMARK_METRIC,NONE,NO,NO,METHOD,EVALUATOR,0,"'initial results of a forthcoming benchmark for evaluating LLM agents'; 'real-world ""messy"" open-web research tasks of the type that are routine in finance and consulting'; 'we qualitatively assessed the performance of the LLM agents by inspecting their traces'."
2409.16876,Automating Traffic Model Enhancement with AI Research Agent,2024-09-25,cs.AI,SYSTEM,L3_CLOSED_LOOP,IDEATION;LITERATURE;EXECUTION;ANALYSIS,OTHER,BENCHMARK_METRIC;HELD_OUT_TRANSFER,TRACES,NO,NO,CAPABILITY,NONE_CLAIMED,0,"'autonomously develops and refines traffic models through a closed-loop, iterative process'; 'additional evaluations across multiple real-world datasets, demonstrating consistent performance gains beyond the original development data'; 'produces interpretable explanations for each improvement'"
2410.05080,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,2024-10-07,cs.CL,BENCHMARK,NA,EXECUTION;ANALYSIS,MULTI,BENCHMARK_METRIC,NONE,NO,NO,METHOD,EVALUATOR,0,"'we present ScienceAgentBench, a new benchmark'; '102 tasks from 44 peer-reviewed publications in four disciplines'; 'engage nine subject matter experts to validate them'"
2410.06384,Validation of the Scientific Literature via Chemputation Augmented by Large Language Models,2024-10-08,cs.AI,SYSTEM,L2_PIPELINE,LITERATURE;EXP_DESIGN;EXECUTION,CHEMISTRY,REAL_WORLD,FORMAL_VERIF,NO,NO,CAPABILITY,UNSPECIFIED,0,"'autonomously extract synthetic procedures ... translate these procedures into universal XDL code, simulate ... and ultimately execute the procedure on an XDL-controlled robotic system'; 'the XDL can be both verified and encrypted'; 'four realistic examples of syntheses directly executed from synthetic literature'"
2410.09403,Many Heads Are Better Than One: Improved Scientific Idea Generation by A LLM-Based Multi-Agent System,2024-10-12,cs.AI,SYSTEM,L1_STAGE,IDEATION,UNCLEAR,BENCHMARK_METRIC,REPRO_ARTIFACTS,YES,NO,CAPABILITY,NONE_CLAIMED,1,"'organizes a team of agents to collaboratively generate, evaluate, and refine research ideas'; 'The code is available at https://github.com/open-sciencelab/Virtual-Scientists'; abstract does not state the scientific domain of the generated ideas"
2410.13185,Chain of Ideas: Revolutionizing Research Via Novel Idea Development with LLM Agents,2024-10-17,cs.AI,SYSTEM,L1_STAGE,IDEATION;LITERATURE;EXP_DESIGN,GENERAL_ML,LLM_JUDGE;HUMAN_EXPERT,NONE,NO,NO,CAPABILITY,EVALUATOR,0,"'organizes relevant literature in a chain structure'; 'generate a candidate idea and its corresponding experimental design'; 'Idea Arena, an evaluation protocol ... aligning closely with the preferences of human researchers'"
2410.17309,Literature Meets Data: A Synergistic Approach to Hypothesis Generation,2024-10-22,cs.AI,FRAMEWORK,NA,IDEATION;LITERATURE;ANALYSIS,OTHER,BENCHMARK_METRIC;HUMAN_EXPERT,NONE,NO,NO,METHOD,EVALUATOR,0,'the first method that combines literature-based insights with data to perform LLM-powered hypothesis generation'; 'human evaluation to assess the utility of LLM-generated hypotheses ... deception detection and AI generated content detection'
2411.00816,CycleResearcher: Improving Automated Research via Automated Review,2024-10-28,cs.CL,SYSTEM,L3_CLOSED_LOOP,LITERATURE;WRITING;REVIEW,GENERAL_ML,LLM_JUDGE;BENCHMARK_METRIC,REPRO_ARTIFACTS,YES,YES,CAPABILITY,NONE_CLAIMED,0,"'full cycle of automated research and review, from literature review and manuscript preparation to peer review and paper refinement'; 'papers generated by the CycleResearcher model achieved a score of 5.36 in simulated peer reviews'; 'code, dataset and model weight are released'"
2411.02382,Improving Scientific Hypothesis Generation with Knowledge Grounded Large Language Models,2024-11-04,cs.CL,SYSTEM,L1_STAGE,IDEATION;LITERATURE,UNCLEAR,BENCHMARK_METRIC,PROVENANCE,NO,NO,METHOD,NONE_CLAIMED,1,"'integrating external, structured knowledge from knowledge graphs (KGs)'; 'includes a KG-supported module for the detection of hallucinations'; domain of the hypothesis generation dataset not stated"
2411.02429,IdeaBench: Benchmarking Large Language Models for Research Idea Generation,2024-10-31,cs.CL,BENCHMARK,NA,IDEATION,UNCLEAR,LLM_JUDGE;BENCHMARK_METRIC,NONE,NO,NO,METHOD,NONE_CLAIMED,1,"'we propose IdeaBench, a benchmark system'; 'using GPT-4o to rank ideas based on user-specified quality indicators'; 'diverse range of influential papers' without naming a field"
2411.03743,Automating Exploratory Proteomics Research via Language Models,2024-11-06,cs.AI,SYSTEM,L3_CLOSED_LOOP,IDEATION;EXP_DESIGN;EXECUTION;ANALYSIS,BIOMED,LLM_JUDGE;HUMAN_EXPERT,NONE,NO,NO,CAPABILITY,EVALUATOR,0,"'produces a comprehensive set of research objectives, analysis results, and novel biological hypotheses without human intervention'; 'assessed using both automatic LLM-based scoring on 5 metrics and detailed reviews from human experts'"
2411.06590,CriticAL: Critic Automation with Language Models,2024-11-10,cs.LG,SYSTEM,L1_STAGE,ANALYSIS;REVIEW,GENERAL_ML,BENCHMARK_METRIC;LLM_JUDGE;HUMAN_EXPERT,UNCERTAINTY,NO,NO,METHOD,EVALUATOR,0,"'uses LLMs to generate summary statistics that capture discrepancies between model predictions and data, and applies hypothesis tests to evaluate their significance'; 'both human and LLM judges consistently prefer CriticAL's critiques'"
2411.11910,AIGS: Generating Science from AI-Powered Automated Falsification,2024-11-17,cs.LG,SYSTEM,L3_CLOSED_LOOP,IDEATION;EXP_DESIGN;EXECUTION;ANALYSIS,GENERAL_ML,BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,UNSPECIFIED,0,"'we propose Baby-AIGS as a baby-step demonstration of a full-process AIGS system, which is a multi-agent system'; 'Experiments on three tasks preliminarily show that Baby-AIGS could produce meaningful scientific discoveries, though not on par with experienced human researchers'"
2411.14456,Can Artificial Intelligence Generate Quality Research Topics Reflecting Patient Concerns?,2024-11-15,cs.CL,SYSTEM,L1_STAGE,IDEATION;LITERATURE,BIOMED,HUMAN_EXPERT,NONE,NO,NO,CAPABILITY,EVALUATOR,0,"'automated framework ... to generate research ideas'; 'self-reflection and correction (e.g., ensuring and revising the research ideas after searching for scientific articles)'; 'Six highly experienced breast oncologists and dermatologists assessed the significance and novelty'"
2411.18583,Automated Literature Review Using NLP Techniques and LLM-Based Retrieval-Augmented Generation,2024-11-27,cs.CL,SYSTEM,L1_STAGE,LITERATURE;WRITING,OTHER,BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,NONE_CLAIMED,0,'automatically generating the literature reviews from only the PDF files as input'; 'The ROUGE scores are used for the evaluation of all three systems'
2412.07978,Agents for self-driving laboratories applied to quantum computing,2024-12-10,cs.AI,SYSTEM,L3_CLOSED_LOOP,EXP_DESIGN;EXECUTION;ANALYSIS,PHYSICS,REAL_WORLD,NONE,NO,NO,CAPABILITY,UNSPECIFIED,0,"'enabling closed-loop feedback control'; 'they autonomously planned and executed experiments for hours, successfully producing and characterizing entangled quantum states at the level achieved by human scientists'"
2412.09429,From Intention To Implementation: Automating Biomedical Research via LLMs,2024-12-12,cs.MA,SYSTEM,L3_CLOSED_LOOP,LITERATURE;EXP_DESIGN;EXECUTION;REVIEW,BIOMED,BENCHMARK_METRIC;LLM_JUDGE,NONE,NO,NO,CAPABILITY,NONE_CLAIMED,0,"'the first end-to-end automated system ... integrating specialized agents for search, literature processing, experimental design, and programming'; 'incorporates an LLM-based reviewer for in-process quality control'; 'average execution success rate of 63.07%'"
2412.12347,AutoSciLab: A Self-Driving Laboratory For Interpretable Scientific Discovery,2024-12-16,cs.LG,SYSTEM,L3_CLOSED_LOOP,IDEATION;EXP_DESIGN;EXECUTION;ANALYSIS,PHYSICS,REAL_WORLD,NONE,NO,NO,DISCOVERY,NONE_CLAIMED,0,'autonomously follows the scientific method in four steps'; 'rediscovering a) the principles of projectile motion and b) the phase transitions ... AutoSciLab uncovers a fundamentally novel method for directing incoherent light emission that surpasses the current state-of-the-art'
2412.13612,"Large Language Models for Automated Literature Review: An Evaluation of Reference Generation, Abstract Writing, and Review Composition",2024-12-18,cs.CL,BENCHMARK,NA,LITERATURE;WRITING,MULTI,BENCHMARK_METRIC,NONE,NO,NO,METHOD,NONE_CLAIMED,0,'introduces a framework to automatically evaluate the performance of LLMs in three key tasks of literature writing'; 'performance of different models varies across disciplines'
2412.14141,LLMs can Realize Combinatorial Creativity: Generating Creative Ideas via LLMs for Scientific Research,2024-12-18,cs.AI,SYSTEM,L1_STAGE,IDEATION;LITERATURE,OTHER,BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,NONE_CLAIMED,0,'featuring a generalization-level retrieval system for cross-domain knowledge discovery and a structured combinatorial process for idea generation'; 'Experiments on the OAG-Bench dataset ... improving similarity scores by 7%-10%'
2412.14626,LDC: Learning to Generate Research Idea with Dynamic Control,2024-12-19,cs.CL,FRAMEWORK,NA,IDEATION,GENERAL_ML,BENCHMARK_METRIC,NONE,NO,NO,METHOD,NONE_CLAIMED,1,'we propose the first framework that employs a two-stage approach combining Supervised Fine-Tuning (SFT) and controllable Reinforcement Learning (RL) for the task'; evaluation only described as 'achieving high-quality outcomes in the experiment'
2412.16270,MetaScientist: A Human-AI Synergistic Framework for Automated Mechanical Metamaterial Design,2024-12-20,cs.AI,SYSTEM,L2_PIPELINE,IDEATION;LITERATURE;EXP_DESIGN,MATERIALS,HUMAN_EXPERT,NONE,NO,NO,CAPABILITY,GATEKEEPER,0,"'a human-in-the-loop system'; 'At each phase, domain experts iteratively validate the system outputs, and provide feedback'; 'Through extensive evaluation from human scientists'"
2412.17596,Evaluating LLMs' Divergent Thinking Capabilities for Scientific Idea Generation with Minimal Context,2024-12-23,cs.CL,BENCHMARK,NA,IDEATION,MULTI,LLM_JUDGE;BENCHMARK_METRIC,NONE,NO,NO,METHOD,NONE_CLAIMED,0,"'We introduce LiveIdeaBench, a comprehensive benchmark'; 'employs a dynamic panel of state-of-the-art LLMs to assess generated ideas'; '1,180 keywords spanning 22 scientific domains'"
2501.01451,Human-AI Teaming Using Large Language Models: Boosting Brain-Computer Interfacing (BCI) and Brain Research,2024-12-30,cs.HC,SYSTEM,L0_ASSISTIVE,IDEATION;ANALYSIS,BIOMED,REAL_WORLD,NONE,NO,NO,CAPABILITY,CO_PERFORMER,1,"'a strong emphasis on human-AI teaming, in contrast to fully autonomous AI BCI researcher'; 'ChatBCI, a Python-based toolbox for enabling human-AI collaboration'; 'successfully used in a concrete BCI project on advancing motor imagery decoding from EEG signals' (specific stages performed not stated)"
2501.04227,Agent Laboratory: Using LLM Agents as Research Assistants,2025-01-08,cs.HC,SYSTEM,L2_PIPELINE,LITERATURE;EXP_DESIGN;EXECUTION;ANALYSIS;WRITING,GENERAL_ML,HUMAN_EXPERT;BENCHMARK_METRIC,NONE,NO,NO,CAPABILITY,GATEKEEPER,0,"'accepts a human-provided research idea and progresses through three stages--literature review, experimentation, and report writing ... while enabling users to provide feedback and guidance at each stage'; 'invite multiple researchers to assess its quality'; 'generated machine learning code is able to achieve state-of-the-art performance'"
2501.04306,LLM4SR: A Survey on Large Language Models for Scientific Research,2025-01-08,cs.CL,SURVEY,NA,NA,GENERAL_ML,NONE,NONE,NO,PARTIAL,CONCEPTUAL,UNSPECIFIED,0,"'first systematic survey dedicated to exploring how LLMs are revolutionizing the scientific research process'; 'Resources are available at the following repository' (paper list, not runnable pipeline)."
2501.08120,In-situ graph reasoning and knowledge expansion using Graph-PReFLexOR,2025-01-14,cs.AI,FRAMEWORK,NA,IDEATION,MATERIALS,UNCLEAR,TRACES,NO,NO,METHOD,UNSPECIFIED,1,"'a framework that combines graph reasoning with symbolic abstraction'; 'Demonstrations include hypothesis generation, materials design'; 'Results ... show superior reasoning depth and adaptability' - no evaluation method specified; 'transparent, multidisciplinary AI-driven discovery' with tasks yielding inspectable knowledge graphs."
2501.10385,Autonomous Microscopy Experiments through Large Language Model Agents,2024-12-18,cs.CY,SYSTEM,L3_CLOSED_LOOP,EXP_DESIGN;EXECUTION;ANALYSIS,MATERIALS,BENCHMARK_METRIC;REAL_WORLD,NONE,NO,NO,CAPABILITY,UNSPECIFIED,0,"'AILA, a framework automating atomic force microscopy through LLM driven agents'; 'complete scientific workflow from experimental design to results analysis'; 'AFM calibration, feature detection, mechanical property measurement, graphene layer counting'."
