arxiv_id,verifier,producer,redone,original,self,agree,guessed_self
2509.04499,opus,fable,include,include,0,1,unknown
2509.13309,opus,opus,include,include,1,1,unknown
2510.18939,opus,fable,include,exclude,0,0,unknown
2505.19964,opus,opus,exclude,exclude,1,1,unknown
2604.24618,opus,fable,include,include,0,1,unknown
2503.05712,opus,opus,include,include,1,1,unknown
2509.13312,opus,fable,include,include,0,1,unknown
2602.15019,opus,opus,include,exclude,1,0,unknown
2509.01016,opus,fable,exclude,exclude,0,1,unknown
2511.09710,opus,opus,exclude,exclude,1,1,unknown
2605.26870,opus,fable,include,include,0,1,unknown
2501.04227,opus,opus,include,include,1,1,unknown
2407.08422,fable,fable,exclude,exclude,1,1,unknown
2602.02139,fable,opus,include,include,0,1,unknown
2607.02520,fable,fable,include,include,1,1,unknown
2604.03159,fable,opus,include,include,0,1,unknown
2502.01118,fable,fable,exclude,exclude,1,1,unknown
2410.09403,fable,opus,include,include,0,1,unknown
2602.06540,fable,fable,include,include,1,1,unknown
2602.18446,fable,opus,include,include,0,1,unknown
2603.16120,fable,fable,include,include,1,1,unknown
2412.09429,fable,opus,include,include,0,1,unknown
2502.15429,fable,fable,exclude,exclude,1,1,unknown
2605.04236,fable,opus,exclude,exclude,0,1,unknown
2411.02429,fable,fable,include,include,1,1,unknown
2506.12594,fable,opus,include,include,0,1,unknown
2403.01332,fable,fable,exclude,exclude,1,1,unknown
2407.08422,opus,fable,exclude,exclude,0,1,unknown
2602.02139,opus,opus,include,include,1,1,unknown
2607.02520,opus,fable,include,include,0,1,unknown
2604.03159,opus,opus,include,include,1,1,unknown
2502.01118,opus,fable,exclude,exclude,0,1,unknown
2410.09403,opus,opus,include,include,1,1,unknown
2602.06540,opus,fable,include,include,0,1,unknown
2602.18446,opus,opus,include,include,1,1,unknown
2603.16120,opus,fable,include,include,0,1,unknown
2412.09429,opus,opus,include,include,1,1,unknown
2502.15429,opus,fable,exclude,exclude,0,1,unknown
2605.04236,opus,opus,exclude,exclude,1,1,unknown
2411.02429,opus,fable,include,include,0,1,unknown
2506.12594,opus,opus,include,include,1,1,unknown
2403.01332,opus,fable,include,exclude,0,0,unknown
2511.17833,fable,opus,exclude,exclude,0,1,unknown
2606.11045,fable,fable,include,include,1,1,unknown
2606.15345,fable,opus,include,exclude,0,0,unknown
2607.04508,fable,fable,include,include,1,1,unknown
2606.08234,fable,opus,include,include,0,1,unknown
2603.20278,fable,fable,include,exclude,1,0,unknown
2606.08671,fable,opus,exclude,exclude,0,1,unknown
2512.15483,fable,fable,exclude,include,1,0,unknown
2605.10224,fable,opus,include,include,0,1,unknown
2505.14242,fable,fable,exclude,exclude,1,1,unknown
2506.20608,fable,opus,exclude,exclude,0,1,unknown
2605.12187,fable,fable,exclude,exclude,1,1,unknown
2505.16100,fable,opus,include,include,0,1,unknown
2405.07495,fable,fable,exclude,exclude,1,1,unknown
2601.14288,fable,opus,include,include,0,1,unknown
2511.17833,opus,opus,exclude,exclude,1,1,unknown
2606.11045,opus,fable,include,include,0,1,unknown
2606.15345,opus,opus,include,exclude,1,0,unknown
2607.04508,opus,fable,include,include,0,1,unknown
2606.08234,opus,opus,include,include,1,1,unknown
2603.20278,opus,fable,include,exclude,0,0,unknown
2606.08671,opus,opus,exclude,exclude,1,1,unknown
2512.15483,opus,fable,exclude,include,0,0,unknown
2605.10224,opus,opus,include,include,1,1,unknown
2505.14242,opus,fable,exclude,exclude,0,1,unknown
2506.20608,opus,opus,exclude,exclude,1,1,unknown
2605.12187,opus,fable,exclude,exclude,0,1,unknown
2505.16100,opus,opus,include,include,1,1,unknown
2405.07495,opus,fable,exclude,exclude,0,1,unknown
2601.14288,opus,opus,include,include,1,1,unknown
2607.14097,fable,fable,include,include,1,1,unknown
2604.02592,fable,opus,include,exclude,0,0,unknown
2605.29522,fable,fable,include,include,1,1,unknown
2603.29353,fable,opus,include,include,0,1,unknown
2606.18508,fable,fable,exclude,exclude,1,1,unknown
2601.09688,fable,opus,include,include,0,1,unknown
2510.11967,fable,fable,exclude,exclude,1,1,unknown
2606.17076,fable,opus,include,include,0,1,unknown
2508.00554,fable,fable,exclude,exclude,1,1,unknown
2605.24043,fable,opus,include,include,0,1,unknown
2510.16082,fable,fable,include,include,1,1,unknown
2601.07966,fable,opus,exclude,include,0,0,unknown
2506.04478,fable,fable,exclude,exclude,1,1,unknown
2604.03553,fable,opus,exclude,include,0,0,unknown
2607.12835,fable,fable,include,include,1,1,unknown
2607.14097,opus,fable,include,include,0,1,unknown
2604.02592,opus,opus,include,exclude,1,0,unknown
2605.29522,opus,fable,include,include,0,1,unknown
2603.29353,opus,opus,include,include,1,1,unknown
2606.18508,opus,fable,exclude,exclude,0,1,unknown
2601.09688,opus,opus,include,include,1,1,unknown
2510.11967,opus,fable,exclude,exclude,0,1,unknown
2606.17076,opus,opus,include,include,1,1,unknown
2508.00554,opus,fable,exclude,exclude,0,1,unknown
2605.24043,opus,opus,include,include,1,1,unknown
2510.16082,opus,fable,include,include,0,1,unknown
2601.07966,opus,opus,exclude,include,1,0,unknown
2506.04478,opus,fable,exclude,exclude,0,1,unknown
2604.03553,opus,opus,exclude,include,1,0,unknown
2607.12835,opus,fable,include,include,0,1,unknown
2510.20221,fable,opus,exclude,exclude,0,1,unknown
2604.20441,fable,fable,include,include,1,1,unknown
2507.08350,fable,opus,include,include,0,1,unknown
2508.13421,fable,fable,include,include,1,1,unknown
2506.06881,fable,opus,include,exclude,0,0,unknown
2602.15061,fable,fable,include,include,1,1,unknown
2606.28710,fable,opus,exclude,exclude,0,1,unknown
2602.07040,fable,fable,include,include,1,1,unknown
2507.19477,fable,opus,exclude,exclude,0,1,unknown
2606.13148,fable,fable,include,include,1,1,unknown
2403.07965,fable,opus,exclude,exclude,0,1,unknown
2604.07927,fable,fable,include,exclude,1,0,unknown
2511.00092,fable,opus,exclude,exclude,0,1,unknown
2603.18388,fable,fable,exclude,exclude,1,1,unknown
2505.19955,fable,opus,include,include,0,1,unknown
2510.20221,opus,opus,exclude,exclude,1,1,unknown
2604.20441,opus,fable,include,include,0,1,unknown
2507.08350,opus,opus,include,include,1,1,unknown
2508.13421,opus,fable,include,include,0,1,unknown
2506.06881,opus,opus,include,exclude,1,0,unknown
2602.15061,opus,fable,include,include,0,1,unknown
2606.28710,opus,opus,exclude,exclude,1,1,unknown
2602.07040,opus,fable,include,include,0,1,unknown
2507.19477,opus,opus,exclude,exclude,1,1,unknown
2606.13148,opus,fable,include,include,0,1,unknown
2403.07965,opus,opus,exclude,exclude,1,1,unknown
2604.07927,opus,fable,include,exclude,0,0,unknown
2511.00092,opus,opus,exclude,exclude,1,1,unknown
2603.18388,opus,fable,exclude,exclude,0,1,unknown
2505.19955,opus,opus,include,include,1,1,unknown
2602.02636,fable,fable,include,exclude,1,0,unknown
2505.18705,fable,opus,include,include,0,1,unknown
2602.03849,fable,fable,include,include,1,1,unknown
2607.05762,fable,opus,include,include,0,1,unknown
2606.20122,fable,fable,include,exclude,1,0,unknown
2512.08935,fable,opus,include,include,0,1,unknown
2607.08003,fable,fable,include,include,1,1,unknown
2603.05972,fable,opus,include,include,0,1,unknown
2504.07396,fable,fable,include,include,1,1,unknown
2603.13840,fable,opus,include,include,0,1,unknown
2507.23276,fable,fable,include,include,1,1,unknown
2511.15342,fable,opus,include,include,0,1,unknown
2605.16217,fable,fable,include,exclude,1,0,unknown
2605.14791,fable,opus,include,include,0,1,unknown
2507.10522,fable,fable,include,include,1,1,unknown
2602.02636,opus,fable,include,exclude,0,0,unknown
2505.18705,opus,opus,include,include,1,1,unknown
2602.03849,opus,fable,include,include,0,1,unknown
2607.05762,opus,opus,include,include,1,1,unknown
2606.20122,opus,fable,include,exclude,0,0,unknown
2512.08935,opus,opus,include,include,1,1,unknown
2607.08003,opus,fable,include,include,0,1,unknown
2603.05972,opus,opus,include,include,1,1,unknown
2504.07396,opus,fable,include,include,0,1,unknown
2603.13840,opus,opus,include,include,1,1,unknown
2507.23276,opus,fable,include,include,0,1,unknown
2511.15342,opus,opus,include,include,1,1,unknown
2605.16217,opus,fable,include,exclude,0,0,unknown
2605.14791,opus,opus,include,include,1,1,unknown
2507.10522,opus,fable,include,include,0,1,unknown
2606.18874,fable,opus,include,include,0,1,unknown
2607.12257,fable,fable,include,include,1,1,unknown
2512.16822,fable,opus,exclude,exclude,0,1,unknown
2602.07943,fable,fable,include,include,1,1,unknown
2412.16160,fable,opus,exclude,exclude,0,1,unknown
2605.10899,fable,fable,include,include,1,1,unknown
2510.01427,fable,opus,exclude,exclude,0,1,unknown
2501.01451,fable,fable,exclude,include,1,0,unknown
2502.12700,fable,opus,exclude,exclude,0,1,unknown
2502.14499,fable,fable,include,include,1,1,unknown
2605.14271,fable,opus,exclude,exclude,0,1,unknown
2506.20702,fable,fable,exclude,exclude,1,1,unknown
2601.06676,fable,opus,include,include,0,1,unknown
2604.18805,fable,fable,include,include,1,1,unknown
2504.19678,fable,opus,exclude,exclude,0,1,unknown
2606.18874,opus,opus,include,include,1,1,unknown
2607.12257,opus,fable,include,include,0,1,unknown
2512.16822,opus,opus,exclude,exclude,1,1,unknown
2602.07943,opus,fable,include,include,0,1,unknown
2412.16160,opus,opus,exclude,exclude,1,1,unknown
2605.10899,opus,fable,include,include,0,1,unknown
2510.01427,opus,opus,exclude,exclude,1,1,unknown
2501.01451,opus,fable,exclude,include,0,0,unknown
2502.12700,opus,opus,exclude,exclude,1,1,unknown
2502.14499,opus,fable,include,include,0,1,unknown
2605.14271,opus,opus,exclude,exclude,1,1,unknown
2506.20702,opus,fable,exclude,exclude,0,1,unknown
2601.06676,opus,opus,include,include,1,1,unknown
2604.18805,opus,fable,include,include,0,1,unknown
2504.19678,opus,opus,exclude,exclude,1,1,unknown
2511.14043,fable,fable,include,include,1,1,unknown
2602.23716,fable,opus,include,exclude,0,0,unknown
2607.11079,fable,fable,include,include,1,1,unknown
2510.04997,fable,opus,include,include,0,1,unknown
2602.18920,fable,fable,include,include,1,1,unknown
2409.05556,fable,opus,include,include,0,1,unknown
2505.08127,fable,fable,exclude,exclude,1,1,unknown
2605.10813,fable,opus,include,include,0,1,unknown
2607.08093,fable,fable,exclude,include,1,0,unknown
2512.02195,fable,opus,exclude,exclude,0,1,unknown
2602.01331,fable,fable,include,exclude,1,0,unknown
2504.08066,fable,opus,include,include,0,1,unknown
2506.23517,fable,fable,exclude,exclude,1,1,unknown
2601.05356,fable,opus,include,include,0,1,unknown
2604.06240,fable,fable,exclude,exclude,1,1,unknown
2511.14043,opus,fable,include,include,0,1,unknown
2602.23716,opus,opus,include,exclude,1,0,unknown
2607.11079,opus,fable,include,include,0,1,unknown
2510.04997,opus,opus,include,include,1,1,unknown
2602.18920,opus,fable,include,include,0,1,unknown
2409.05556,opus,opus,include,include,1,1,unknown
2505.08127,opus,fable,exclude,exclude,0,1,unknown
2605.10813,opus,opus,include,include,1,1,unknown
2607.08093,opus,fable,exclude,include,0,0,unknown
2512.02195,opus,opus,exclude,exclude,1,1,unknown
2602.01331,opus,fable,include,exclude,0,0,unknown
2504.08066,opus,opus,include,include,1,1,unknown
2506.23517,opus,fable,exclude,exclude,0,1,unknown
2601.05356,opus,opus,include,include,1,1,unknown
2604.06240,opus,fable,exclude,exclude,0,1,unknown
2604.11201,fable,opus,exclude,exclude,0,1,unknown
2604.09793,fable,fable,include,include,1,1,unknown
2603.06002,fable,opus,exclude,exclude,0,1,unknown
2506.11763,fable,fable,include,include,1,1,unknown
2505.20466,fable,opus,include,include,0,1,unknown
2512.00986,fable,fable,include,include,1,1,unknown
2605.22662,fable,opus,include,include,0,1,unknown
2606.13859,fable,fable,include,include,1,1,unknown
2601.03261,fable,opus,include,exclude,0,0,unknown
2509.22315,fable,fable,exclude,exclude,1,1,unknown
2601.19916,fable,opus,include,include,0,1,unknown
2606.15931,fable,fable,include,include,1,1,unknown
2606.29920,fable,opus,include,exclude,0,0,unknown
2504.04083,fable,fable,exclude,exclude,1,1,unknown
2605.05258,fable,opus,include,include,0,1,unknown
2604.11201,opus,opus,exclude,exclude,1,1,unknown
2604.09793,opus,fable,include,include,0,1,unknown
2603.06002,opus,opus,exclude,exclude,1,1,unknown
2506.11763,opus,fable,include,include,0,1,unknown
2505.20466,opus,opus,include,include,1,1,unknown
2512.00986,opus,fable,include,include,0,1,unknown
2605.22662,opus,opus,include,include,1,1,unknown
2606.13859,opus,fable,include,include,0,1,unknown
2601.03261,opus,opus,include,exclude,1,0,unknown
2509.22315,opus,fable,exclude,exclude,0,1,unknown
2601.19916,opus,opus,include,include,1,1,unknown
2606.15931,opus,fable,include,include,0,1,unknown
2606.29920,opus,opus,include,exclude,1,0,unknown
2504.04083,opus,fable,exclude,exclude,0,1,unknown
2605.05258,opus,opus,include,include,1,1,unknown
