arxiv_id,passA_decision,passA_reason,passA_justification,passB_decision,passB_reason,passB_justification,agreement,final_decision,final_reason,adjudicated,adjudication_rationale
2402.14424,include,IC1,Automated system combining LLM and causal graphs to autonomously generate psychological hypotheses (ideation stage).,include,IC1,Automated hypothesis generation pipeline combining LLM literature extraction with causal graph link prediction.,agree,include,IC1,0,
2402.14873,exclude,EC3,AI-generated text detection classifier with no autonomous research system as subject.,borderline,NA,General AI-text detector; touches scientific-paper integrity but is not specific to AI-conducted research.,needs_adjudication,,,0,
2402.17168,borderline,NA,Benchmark for data science agents; unclear whether data-analysis agents count as research-lifecycle systems or generic agents.,borderline,NA,Benchmark for data science agents; overlaps analysis-stage scientific work but is largely a general agent benchmark.,needs_adjudication,,,0,
2403.00998,exclude,EC1,"Methodological robustness study of LLM scoring methods, not an autonomous research system.",borderline,NA,"Methodological robustness study of LLM scoring with research-integrity framing, but not clearly about AI-conducted research.",needs_adjudication,,,0,
2403.01332,exclude,EC2,Fine-tuned LLM as a predictive/design instrument for DNA biophysics without an agentic research loop as subject.,exclude,EC2,"Fine-tuned LLM as a predictive tool for DNA structural biophysics, no autonomous research loop.",agree,exclude,EC2,0,
2403.04382,include,IC1,"LLM agent architecture (Acceleron) performing the research ideation stage, including novelty validation and method synthesis.",include,IC1,"Agent-based system that ideates research proposals, validates novelty against literature, and synthesizes methods.",agree,include,IC1,0,
2403.07632,exclude,EC2,ML framework used as a drug re-engineering instrument without an agentic research loop as subject.,exclude,EC2,"ML drug-redesign framework used as a scientific prediction tool, not an autonomous researcher.",agree,exclude,EC2,0,
2403.07965,exclude,EC1,"Tutorial on conditional computation in neural networks; generic ML methods, not research-performing AI.",exclude,EC5,Survey of conditional computation in neural network architectures.,agree,exclude,EC1,0,
2403.13815,include,IC1,Autonomous ARPES experiment execution via a Gaussian-process-driven active-learning loop is the paper's subject.,include,IC1,Autonomous experimental control that searches parameter space and runs ARPES measurements at a beamline.,agree,include,IC1,0,
2403.16851,exclude,EC3,"LLM-assisted detection of retraction signals in tweets; integrity monitoring of human research, not autonomous AI research.",exclude,EC2,LLMs used as a classification tool to flag retraction signals in tweets; not about AI-conducted research.,agree,exclude,EC3,0,
2404.00478,exclude,EC3,Call for a forensic scientometrics discipline protecting the scholarly record; no autonomous AI research system as subject.,exclude,EC5,"Scientometric research-integrity discipline proposal, not about AI conducting research.",agree,exclude,EC3,0,
2404.01268,exclude,EC3,"Corpus-level measurement of human LLM use in academic writing, no autonomous research system as subject.",include,IC3,Large-scale integrity study measuring LLM-generated content in the scientific literature.,needs_adjudication,,,0,
2404.02831,include,IC3,Position/vision paper on AI agents as biomedical 'AI scientists' with discovery workflows.,include,IC3,Position/perspective piece on AI agents as biomedical scientists.,agree,include,IC3,0,
2404.03353,exclude,EC1,"Small language model serving throughput benchmarking, unrelated to research automation.",exclude,EC1,"Small language model serving throughput benchmarking, unrelated to AI-conducted research.",agree,exclude,EC1,0,
2404.04326,include,IC1,LLM system that iteratively generates and refines scientific hypotheses via a reward-driven update loop.,include,IC1,LLM system that iteratively generates and refines scientific hypotheses from data.,agree,include,IC1,0,
2404.07738,include,IC1,"ResearchAgent autonomously generates problems, methods and experiment designs with iterative reviewing agents.",include,IC1,"ResearchAgent autonomously ideates, designs experiments, and self-reviews via LLM agents.",agree,include,IC1,0,
2404.08680,borderline,NA,Automates literature-synthesis stage of SLRs but with fine-tuned LLMs rather than a clear agentic loop.,include,IC1,Automates systematic literature review synthesis with fine-tuned LLMs.,needs_adjudication,,,0,
2404.12899,include,IC1,Theory-in-the-loop autonomous experimentation method driving experiment design and execution in a closed loop.,include,IC1,Theory-in-the-loop autonomous experimentation with active learning for materials discovery.,agree,include,IC1,0,
2404.14230,exclude,EC1,"LLM manipulation susceptibility study, not about research-performing systems.",exclude,EC1,"Study of LLM manipulation of humans, not AI doing science.",agree,exclude,EC1,0,
2404.19244,borderline,NA,"Research-integrity governance framework, but centered on human use of generative AI rather than AI-conducted research.",include,IC3,Institutional framework for responsible generative AI use and research integrity.,needs_adjudication,,,0,
2405.00706,exclude,EC3,AI-generated lay summaries and public perception; no autonomous research system.,exclude,EC3,AI used to simplify science communication for human readers.,agree,exclude,EC3,0,
2405.00972,borderline,NA,Chemistry tool-using LLM agent evaluated on QA benchmark; unclear whether it performs a research lifecycle stage.,include,IC1,CACTUS is an LLM agent using cheminformatics tools for chemistry discovery tasks.,needs_adjudication,,,0,
2405.06724,include,IC1,Active-learning system that autonomously designs and iterates biological experiments toward a self-driving lab.,include,IC1,Active-learning system that autonomously guides biological experimentation toward a self-driving lab.,agree,include,IC1,0,
2405.07495,exclude,EC1,R package helping humans run behavioural experiments on LLMs; no autonomous research agent.,exclude,EC1,R package tooling for human researchers running experiments on LLMs.,agree,exclude,EC1,0,
2405.07963,exclude,EC1,"RAG question-answering over a reference library, not an agentic research system.",borderline,NA,RAG platform for literature synthesis; assistive tool rather than autonomous research agent.,needs_adjudication,,,0,
2405.12300,include,IC1,Infrastructure and reward-driven workflows for autonomous scanning-probe-microscope scientific discovery.,include,IC1,Infrastructure and reward-driven workflows for autonomous microscope-based discovery.,agree,include,IC1,0,
2405.13352,include,IC2,Proposes benchmark tests specifically evaluating an autonomous AI scientist's discovery ability.,include,IC2,Proposes benchmark tests for evaluating an AI scientist's discovery ability.,agree,include,IC2,0,
2405.17631,include,IC1,Agent that designs genetic perturbation experiments and reasons over outcomes in a closed loop.,include,IC1,Agent that designs genetic perturbation experiments and reasons over outcomes in a loop.,agree,include,IC1,0,
2405.20477,include,IC1,Multi-component LLM system autonomously producing peer-review-style focused feedback on papers.,include,IC1,Multi-LLM system that reviews scientific manuscripts and generates focused feedback.,agree,include,IC1,0,
2406.04383,exclude,EC1,"Single-shot LLM information extraction of leaderboard tuples, no agentic research loop.",borderline,NA,LLM extraction of leaderboard data from papers; research-automation adjacent but not a research agent.,needs_adjudication,,,0,
2406.06459,borderline,NA,"Studies asynchronous expert feedback in Bayesian optimization for self-driving labs; subject is the optimizer, not an agentic research system.",include,IC1,Studies non-blocking expert feedback inside autonomous self-driving-lab BO loops.,needs_adjudication,,,0,
2406.06769,include,IC2,Virtual environment and benchmark for evaluating automated scientific discovery agents.,include,IC2,DISCOVERYWORLD is a benchmark environment for automated scientific discovery agents.,agree,include,IC2,0,
2406.07016,exclude,EC3,Detects prevalence of LLM-assisted human writing in biomedical abstracts.,include,IC3,Corpus-level integrity study quantifying LLM involvement in biomedical publications.,needs_adjudication,,,0,
2406.07882,exclude,EC1,"Transparency dashboard for conversational AI, unrelated to research automation.",exclude,EC1,"Interpretability dashboard for chatbots, unrelated to AI-conducted research.",agree,exclude,EC1,0,
2406.10291,include,IC2,"Benchmark for evaluating LLM research agents on literature discovery, selection and organization.",include,IC2,ResearchArena benchmarks LLM research agents on literature discovery and organization.,agree,include,IC2,0,
2406.11661,exclude,EC1,"Socio-demographic prompting and cultural bias study of LLMs, not research-performing agents.",exclude,EC1,"Cultural-bias prompting study, not about machines doing science.",agree,exclude,EC1,0,
2406.12753,exclude,EC1,"General cognitive-reasoning benchmark of Olympiad problems for LLMs, not a benchmark for autonomous research systems.",exclude,EC1,"Olympiad-style multi-discipline reasoning exam benchmark, not about AI conducting research.",agree,exclude,EC1,0,
2406.13163,include,IC1,"LLM agent framework autonomously performs materials-design ideation, modification, and evaluation with a self-reflective agentic loop.",include,IC1,"LLM agent loop that proposes material modifications, evaluates outcomes, and self-reflects toward autonomous discovery.",agree,include,IC1,0,
2406.14275,exclude,EC3,"Personalized writing assistance for humans authoring papers, not an autonomous research system.",exclude,EC3,Personalization method for helping human authors write scientific papers.,agree,exclude,EC3,0,
2407.00466,include,IC2,Benchmark explicitly for evaluating AI Scientist-style biomedical agents on literature understanding tasks.,include,IC2,Benchmark explicitly designed to evaluate AI Scientist agents on literature understanding and KG checking.,agree,include,IC2,0,
2407.01791,exclude,EC2,"VLM perception benchmark for microscopy image analysis as an instrument, no agentic research loop as subject.",exclude,EC2,"Vision-language benchmark for microscopy image understanding, a scientific tool model rather than AI-conducted research.",agree,exclude,EC2,0,
2407.06349,exclude,EC1,"Cognitive-science study of LLM recall effects, unrelated to autonomous research systems.",exclude,EC5,"Cognitive-science study of LLM recall behavior, unrelated to machines doing science.",agree,exclude,EC1,0,
2407.08270,exclude,EC2,"ML property-prediction model with automated data extraction used as an instrument, no agentic research loop.",borderline,NA,Combines automated literature mining with property prediction for self-driving labs; unclear whether an autonomous research loop.,needs_adjudication,,,0,
2407.08422,exclude,EC1,"Security analysis of LLM app stores, unrelated to AI performing research.",exclude,EC1,"Security audit of LLM app stores, an ordinary application-security study.",agree,exclude,EC1,0,
2407.08940,include,IC2,"Dataset, metrics, and evaluation methodology for LLM/multi-agent biomedical hypothesis generation, a research-lifecycle stage.",include,IC2,Comprehensive evaluation framework and metrics for LLMs generating scientific hypotheses.,agree,include,IC2,0,
2407.09905,exclude,EC1,"General RL algorithmic contribution; experiment design appears only as motivation, not an autonomous research system.",exclude,EC5,General reinforcement learning theory with experiment design only as motivating example.,agree,exclude,EC1,0,
2407.10362,include,IC2,Benchmark specifically measuring AI systems on practical biology research tasks toward automated research systems.,include,IC2,Benchmark measuring practical biology research capabilities of language agents.,agree,include,IC2,0,
2407.11054,borderline,NA,"Review of generative AI across HTA evidence-synthesis workflows with governance discussion, but no autonomous agentic research system as clear subject.",include,IC3,"Review/policy piece on generative AI automating evidence synthesis, generation, and modeling in research workflows.",needs_adjudication,,,0,
2407.12857,include,IC1,Multi-module automated peer-review framework performing the review stage of the research lifecycle with self-correction.,include,IC1,Automated peer-review system that generates and self-corrects reviews of papers.,agree,include,IC1,0,
2407.12888,borderline,NA,"RAG workflow supports hypothesis generation but is user-directed and largely retrieval-based, unclear if agentic autonomous research.",include,IC1,RAG-based workflow that integrates literature and knowledge graphs to generate and explore biomedical hypotheses.,needs_adjudication,,,0,
2407.13364,exclude,EC1,"Theoretical RL/active-exploration algorithm, not an autonomous research agent system.",exclude,EC2,"RL algorithm for active exploration/experiment design, a method used as a tool rather than an autonomous research agent.",agree,exclude,EC1,0,
2407.13993,borderline,NA,"LLM tool automating literature-review screening, but appears single-shot extraction rather than an agentic loop.",include,IC1,"Tool that automates literature screening and relevance assessment, a core research-process step.",needs_adjudication,,,0,
2407.16083,include,IC1,Self-driving lab autonomously executes experiments and discovers governing equations via closed-loop active learning.,include,IC1,Self-driving lab autonomously runs experiments with closed-loop active learning and discovers governing equations.,agree,include,IC1,0,
2407.16606,exclude,EC1,"Robot-learning Foosball platform, not an AI system performing scientific research stages.",exclude,EC1,"Robot learning testbed for foosball, an ordinary agent/robotics application.",agree,exclude,EC1,0,
2407.17629,exclude,EC3,Detector of AI-generated scientific text with no autonomous research system as subject and no IC3 integrity framing.,include,IC3,"Detector for AI-generated scientific papers, a research-integrity study about machine-produced science.",needs_adjudication,,,0,
2407.18657,borderline,NA,Semi-automated systematic-literature-review workflow tooling for humans; unclear whether it counts as autonomous literature synthesis.,include,IC1,Automated workflow and tooling for machine-actionable systematic literature reviews.,needs_adjudication,,,0,
2407.19056,exclude,EC1,"Office-automation agent benchmark, not aimed at performing scientific research.",exclude,EC1,"Office automation benchmark for LLM agents, not scientific research.",agree,exclude,EC1,0,
2408.01253,exclude,EC1,"Metareasoning framework for human/AI decision-making models, not an autonomous research system.",exclude,EC5,"Metareasoning/decision-theory framework for human and AI planning, not about conducting science.",agree,exclude,EC1,0,
2408.05040,exclude,EC2,"Bayesian optimization software library used as an instrument for experiments, not an agentic research system as subject.",borderline,NA,Bayesian optimization/DoE library intended for real experiments and self-driving labs; infrastructure rather than an autonomous researcher.,needs_adjudication,,,0,
2408.05086,borderline,NA,"Framework generates novel experimental hypotheses via LM-simulated experiments, but LMs serve as simulated subjects rather than a clear agentic loop.",include,IC3,"Proposes a general framework for using language models to simulate unrun experiments and generate novel scientific hypotheses, i.e. a methodology for machine-driven hypothesis generation rather than an autonomous agent or benchmark.",needs_adjudication,,,0,
2408.06292,include,IC1,"End-to-end autonomous AI Scientist performing ideation, experimentation, writing, and simulated review in an agentic loop.",include,IC1,"End-to-end autonomous system that ideates, codes, experiments, writes papers, and reviews them.",agree,include,IC1,0,
2408.06872,exclude,EC3,"About human use of GenAI tools in research methodology, no autonomous research system as subject.",exclude,EC3,"About human researchers using GenAI tools to assist analysis and writing, not machines conducting research.",agree,exclude,EC3,0,
2408.09675,exclude,EC1,"Survey of MARL for autonomous driving, unrelated to performing research.",exclude,EC1,"Survey of multi-agent RL for autonomous driving, unrelated to AI-conducted science.",agree,exclude,EC1,0,
2408.14033,include,IC1,"MLR-Copilot autonomously generates ideas, implements and runs ML experiments in an iterative agent loop.",include,IC1,"MLR-Copilot is an autonomous LLM-agent framework for ideation, experiment implementation, and execution.",agree,include,IC1,0,
2408.14487,borderline,NA,Active-learning logic system guiding experiment selection toward a self-driving lab; unclear whether an agentic research loop is the subject.,include,IC1,Active-learning system that autonomously designs informative biological experiments toward a self-driving lab.,needs_adjudication,,,0,
2408.14623,exclude,EC3,"Human-facing retrieval/writing interface for scientific writing assistance, not an autonomous research system.",exclude,EC3,"Interactive UI supporting human scientific writing and verification, not autonomous research.",agree,exclude,EC3,0,
2409.00217,exclude,EC1,"LLM rescoring for speech recognition, unrelated to scientific research.",exclude,EC1,"LLM-based ASR hypothesis rescoring, an ordinary NLP application.",agree,exclude,EC1,0,
2409.02604,borderline,NA,"Causal-graph-completion benchmark framed around hypothesis generation but tests single-shot LLM reasoning, not research agents.",include,IC2,Benchmark measuring LLM hypothesis generation of causal variables framed as scientific discovery capability.,needs_adjudication,,,0,
2409.04109,include,IC2,Large-scale evaluation methodology comparing an LLM ideation agent against expert researchers.,include,IC2,Large-scale human study evaluating LLM research-ideation agents against expert researchers.,agree,include,IC2,0,
2409.04481,exclude,EC2,Review of LLMs as instruments across the drug discovery pipeline without an agentic research loop as subject.,exclude,EC2,"Review of LLMs as predictive/analytic tools across the drug development pipeline, not autonomous research agents.",agree,exclude,EC2,0,
2409.05258,include,IC1,"LLM framework autonomously proposing, implementing and evaluating novel ML research components.",include,IC1,"LLM framework that generates, implements, and evaluates novel ML research components in a loop.",agree,include,IC1,0,
2409.05556,include,IC1,SciAgents is a multi-agent system autonomously generating and critiquing scientific hypotheses.,include,IC1,SciAgents is a multi-agent system autonomously generating and critiquing scientific hypotheses.,agree,include,IC1,0,
2409.07703,borderline,NA,Benchmark for data science agents (analysis/modeling); scientific-research scope is arguable.,borderline,NA,Data science agent benchmark straddles research analysis tasks and ordinary data/ML engineering.,needs_adjudication,,,0,
2409.11363,include,IC2,CORE-Bench is a benchmark explicitly for research agents performing computational reproducibility.,include,IC2,CORE-Bench benchmarks agents on computational reproducibility of published research.,agree,include,IC2,0,
2409.12295,borderline,NA,Bayesian optimization acquisition strategy for autonomous experimentation; may be an instrument rather than an agentic research system.,include,IC1,SANE autonomously navigates experimental parameter spaces for materials discovery in autonomous experimentation.,needs_adjudication,,,0,
2409.12538,borderline,NA,LLM-simulated expert personas support human research ideation; human-in-the-loop rather than autonomous.,borderline,NA,Human-in-the-loop LLM persona tool for research ideation with little agent autonomy.,needs_adjudication,,,0,
2409.14602,exclude,EC1,"Single-shot fine-tuned title generation, no agentic research loop.",exclude,EC3,Language models generating paper titles for human authors.,agree,exclude,EC1,0,
2409.14634,borderline,NA,Human-LLM compound ideation system with user study; autonomy of the loop is unclear.,borderline,NA,Scideator is a human-LLM ideation support system; autonomy is limited to interactive assistance.,needs_adjudication,,,0,
2409.14913,exclude,EC1,"Benchmark for open-web finance/consulting research agents, not scientific research systems.",exclude,EC1,"Benchmark for open-web analyst research agents in finance/consulting, not scientific research.",agree,exclude,EC1,0,
2409.15890,exclude,EC1,"Psycholinguistic humanlikeness benchmark for LLMs, unrelated to research systems.",exclude,EC1,"Benchmark of LLM humanlikeness in language use, unrelated to AI-conducted research.",agree,exclude,EC1,0,
2409.16876,include,IC1,"TR-Agent autonomously ideates, implements, evaluates and refines traffic models in a closed research loop.",include,IC1,"TR-Agent autonomously ideates, implements, evaluates, and refines traffic models in a closed research loop.",agree,include,IC1,0,
2409.19006,exclude,EC1,"Multi-agent framework for patent/IP management workflows, not scientific research conduct.",exclude,EC1,"Multi-agent framework for patent management and analysis, a domain application rather than doing science.",agree,exclude,EC1,0,
2409.19552,exclude,EC2,"Deep-learning spectra predictor used as a scientific instrument, no agentic loop.",exclude,EC2,"Deep-learning surrogate for predicting X-ray absorption spectra, a scientific tool model.",agree,exclude,EC2,0,
2410.00240,borderline,NA,Active-inference continual learning agent described as a self-learning research agent; research-lifecycle role is vague.,borderline,NA,Active inference continual-learning agent loosely described as a self-learning research agent.,needs_adjudication,,,0,
2410.04025,borderline,NA,Literature-grounded interactive ideation tool for researchers; human-driven rather than autonomous.,borderline,NA,IdeaSynth is an interactive human-facing idea development tool rather than an autonomous research agent.,needs_adjudication,,,0,
2410.05080,include,IC2,ScienceAgentBench is a benchmark for language agents performing data-driven scientific discovery tasks.,include,IC2,ScienceAgentBench rigorously benchmarks language agents on data-driven scientific discovery tasks.,agree,include,IC2,0,
2410.06176,exclude,EC1,"Smart contract auditing dataset, unrelated to scientific research systems.",exclude,EC1,"Benchmark for smart-contract auditing, an ordinary software application domain.",agree,exclude,EC1,0,
2410.06384,include,IC1,"LLM agent workflow autonomously extracts, translates, simulates and executes literature syntheses on robotic hardware.",include,IC1,LLM agent workflow that extracts literature procedures and autonomously executes syntheses on robotic chemistry hardware.,agree,include,IC1,0,
2410.09099,exclude,EC1,"Active inference agents for federated learning/systems ops, not research conduct.",exclude,EC1,"Active-inference agents for federated learning system adaptation, not machine-conducted science.",agree,exclude,EC1,0,
2410.09290,exclude,EC2,"Ranking surrogate for Bayesian optimization used as an instrument, no agentic research loop.",exclude,EC2,"Ranking surrogate for Bayesian optimization is an ML tool for molecule selection, not an autonomous research agent.",agree,exclude,EC2,0,
2410.09403,include,IC1,"VirSci multi-agent system autonomously generates, evaluates and refines research ideas.",include,IC1,"VirSci multi-agent system that generates, evaluates, and refines scientific research ideas.",agree,include,IC1,0,
2410.11468,exclude,EC2,"Sparse autoencoder interpretability method for gene expression models, not an agentic research system.",exclude,EC2,"Sparse autoencoder interpretability method for gene-expression models, used as an analysis tool.",agree,exclude,EC2,0,
2410.11894,exclude,EC2,"Data-driven model for discovering dynamics from video, no agentic research loop as subject.",exclude,EC2,Data-driven model that learns dynamics from video; a modeling tool rather than an autonomous research agent.,agree,exclude,EC2,0,
2410.13185,include,IC1,Chain-of-Ideas LLM agent performs literature-grounded research ideation plus an evaluation protocol.,include,IC1,Chain-of-Ideas LLM agent for autonomous research ideation with an evaluation protocol.,agree,include,IC1,0,
2410.13713,exclude,EC2,Deep learning model for crystal structure analysis used as an instrument.,exclude,EC2,"Deep learning model for crystal structure analysis, a domain prediction tool.",agree,exclude,EC2,0,
2410.14182,borderline,NA,Lab safety benchmark for LLMs assisting experiment design; unclear whether it targets autonomous research systems.,include,IC2,Benchmark evaluating LLMs/VLMs on lab safety for AI-assisted experiment design and execution.,needs_adjudication,,,0,
2410.14875,exclude,EC3,"Detection of LLM-generated text, no autonomous research system as subject.",exclude,EC3,"Detection of LLM-generated text in human writing domains, not about AI-conducted research.",agree,exclude,EC3,0,
2410.16531,exclude,EC1,Generic LLM in-context learning scaling law study.,exclude,EC5,"General in-context-learning scaling law study, unrelated to AI doing science.",agree,exclude,EC1,0,
2410.16618,exclude,EC1,"Survey of dataset copyright auditing in ML, not autonomous research systems.",exclude,EC5,"Systematization of dataset copyright auditing in ML, not about AI-conducted research.",agree,exclude,EC1,0,
2410.17309,include,IC1,LLM-powered method combining literature and data for automated hypothesis generation.,include,IC1,LLM-powered hypothesis generation method combining literature and data for scientific inquiry.,agree,include,IC1,0,
2410.20221,exclude,EC1,"Essay on linguistics' contribution to AI, no research-performing system.",exclude,EC5,"Essay on generative linguistics' contribution to AI, off topic.",agree,exclude,EC1,0,
2411.00816,include,IC1,CycleResearcher/CycleReviewer autonomously conduct full research cycle plus simulated peer review.,include,IC1,CycleResearcher/CycleReviewer automate the full research and peer-review cycle with open LLMs.,agree,include,IC1,0,
2411.02382,include,IC1,KG-CoI system performs knowledge-grounded scientific hypothesis generation with structured reasoning and hallucination checking.,include,IC1,KG-CoI system for knowledge-grounded scientific hypothesis generation with hallucination checking.,agree,include,IC1,0,
2411.02429,include,IC2,IdeaBench is a benchmark and evaluation framework for LLM research idea generation.,include,IC2,IdeaBench is a benchmark and evaluation framework for LLM research idea generation.,agree,include,IC2,0,
2411.03743,include,IC1,"PROTEUS autonomously plans, executes and iteratively refines proteomics analyses to produce hypotheses.",include,IC1,"PROTEUS autonomously plans, runs analyses, and generates hypotheses from raw proteomics data.",agree,include,IC1,0,
2411.05000,exclude,EC1,"Long-context retrieval evaluation of LLMs, generic capability study.",exclude,EC5,"Long-context retrieval evaluation of LLMs, unrelated to AI-conducted science.",agree,exclude,EC1,0,
2411.06590,include,IC1,"CriticAL automates scientific model criticism and analysis, feeding an LLM scientist loop.",include,IC1,"CriticAL is an LLM system that autonomously critiques scientific models by generating and testing summary statistics, performing the analysis/critique stage of automated scientific discovery.",agree,include,IC1,0,
2411.08804,exclude,EC1,"Multi-agent framework for financial equity research, not scientific research.",exclude,EC1,"Multi-agent framework for financial equity research, an ordinary business agent application.",agree,exclude,EC1,0,
2411.09892,borderline,NA,Self-driving-lab robotic characterization automation; autonomous execution but no clear agentic research loop as subject.,include,IC1,Self-supervised robotic system autonomously running contact-based characterization experiments in a self-driving lab.,needs_adjudication,,,0,
2411.11731,exclude,EC1,Studies moral persuasion susceptibility of LLMs; no research-performing system involved.,exclude,EC1,"Studies moral persuasion between LLM agents, unrelated to machines conducting research.",agree,exclude,EC1,0,
2411.11910,include,IC1,Baby-AIGS is a multi-agent full-process AI-generated science system with explicit falsification.,include,IC1,Baby-AIGS is a full-process multi-agent AI-generated-science system with explicit falsification.,agree,include,IC1,0,
2411.14456,include,IC1,"Automated framework generates and self-refines research topics from patient data, an ideation stage system.",include,IC1,"Automated NLP+AI framework that generates and self-refines research topics, evaluated by expert reviewers.",agree,include,IC1,0,
2411.15221,borderline,NA,"Hackathon report spanning LLM research applications including hypothesis generation and research automation, but not specifically about autonomous research systems.",borderline,NA,"Hackathon report on LLM uses in chemistry including hypothesis generation, partly but not squarely about AI-conducted research.",needs_adjudication,,,0,
2411.17260,exclude,EC2,Micro-CT dataset and computer vision solutions used as instruments; no agentic research loop.,exclude,EC2,"Micro-CT dataset and computer-vision solutions, a domain tool/benchmark not about AI doing science.",agree,exclude,EC2,0,
2411.17943,exclude,EC3,"Framework for evaluating human use of GenAI writing assistance, no autonomous research system as subject.",exclude,EC3,Evaluation methodology for GenAI-assisted human scientific writing.,agree,exclude,EC3,0,
2411.18583,borderline,NA,Automates literature review (a research stage) but via single-pass NLP/RAG pipelines without a clear agentic loop.,include,IC1,"System that automatically generates literature reviews from PDFs, a research-process task.",needs_adjudication,,,0,
2412.07978,include,IC1,"LLM agent framework that autonomously plans, executes, and analyzes quantum lab experiments in closed loop.",include,IC1,"k-agents framework autonomously plans, runs, and analyzes quantum lab experiments in closed loop.",agree,include,IC1,0,
2412.09385,borderline,NA,"Primary subject is LLM AGI forecasting, but includes an automated LLM peer-review process as a component.",include,IC2,Automated LLM peer-review evaluation protocol and new benchmark for model forecasting.,needs_adjudication,,,0,
2412.09429,include,IC1,End-to-end multi-agent system automating biomedical research from literature to experiment design and programming.,include,IC1,BioResearcher is an end-to-end multi-agent system automating biomedical research workflows.,agree,include,IC1,0,
2412.09628,exclude,EC2,Large-scale bibliometric analysis of AI4Science using LLMs as tools; not about autonomous research systems.,borderline,NA,"Meta-scientific literature analysis of AI4Science using LLMs, not about AI conducting research itself.",needs_adjudication,,,0,
2412.12036,exclude,EC2,"System identification / equation discovery method used as an instrument, no agentic research loop.",exclude,EC2,"System identification method for nonlinear dynamics, a scientific modeling tool.",agree,exclude,EC2,0,
2412.12347,include,IC1,"Self-driving laboratory framework autonomously generating, selecting, and interpreting experiments.",include,IC1,"AutoSciLab autonomously designs, runs, and interprets experiments following the scientific method.",agree,include,IC1,0,
2412.12456,exclude,EC1,Survey of GNN+LLM graph learning; not about research-performing agents.,exclude,EC2,"Survey of GNN+LLM graph learning methods, not about AI conducting research.",agree,exclude,EC1,0,
2412.13612,include,IC2,Evaluation framework and metrics for LLM automation of literature review tasks.,include,IC2,Evaluation framework and metrics for LLM-automated literature review tasks.,agree,include,IC2,0,
2412.13645,borderline,NA,"Evaluates hypothesis generation in LLMs (ideation-adjacent) but studies model priors, not an autonomous research system.",borderline,NA,"Studies LLM hypothesis generation priors on general tasks, not clearly scientific research conduct.",needs_adjudication,,,0,
