arxiv_id,title,area,domain,cohort,first_submitted,claim_strength,autonomy,paper_type,repo_urls,archetype,lineage,institution,n_files,extensions
2511.06309,The Station: An Open-World Environment for AI-Driven Discovery,A1_discovery,MULTI,2025-H2,2025-11-09,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/dualverse-ai/station,FULL_PIPELINE,,,303,.cff;.css;.csv;.html;.ico;.ipynb;.js;.json;.md;.png;.py;.sh
2511.07262,AgenticSciML: Collaborative Multi-Agent Systems for Emergent Discovery in Scientific Machine Learning,A1_discovery,GENERAL_ML,2025-H2,2025-11-10,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/Qile-J/AgenticSciML | github.com/jdtoscano94/Learning-Scientific_Machine_Learning_Residual_,FULL_PIPELINE,,,98,.jpg;.json;.md;.npz;.py;.sh;.txt
2511.08522,AlphaResearch: Accelerating New Algorithm Discovery with Language Models,A1_discovery,MATH_FORMAL,2025-H2,2025-11-11,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/answers111/alpha-research | github.com/codelion/openevolve | huggingface.co/docs/transformers,FULL_PIPELINE,,,76,.md;.npy;.png;.py;.sh;.txt;.yaml
2511.11558,Human-AI collaborative autonomous synthesis with pulsed laser deposition for remote epitaxy,A1_discovery,MATERIALS,2025-H2,2025-11-14,DISCOVERY,L2_PIPELINE,SYSTEM,github.com/sumner-harris/RAGAgent_AutonomousMaterialsSynthesis.git | github.com/sumner-harris/alchemy.git,CODE_ONLY,,,12,.bat;.jpg;.md;.py;.sh;.txt
2602.02139,EvoMU: Evolutionary Machine Unlearning,A1_discovery,GENERAL_ML,2026-H1,2026-02-02,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/Batorskq/EvoMU,FULL_PIPELINE,,,207,.json;.jsonl;.md;.py;.txt;.yaml
2602.07983,Accelerating Social Science Research via Agentic Hypothesization and Experimentation,A1_discovery,SOCIAL_SCI,2026-H1,2026-02-08,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/QwenLM/Qwen-Agent,FULL_PIPELINE,,,345,.css;.csv;.dockerfile;.example;.html;.in;.ipynb;.jpeg;.jpg;.js;.json;.jsx
2602.08990,InternAgent-1.5: A Unified Agentic Framework for Long-Horizon Autonomous Scientific Discovery,A1_discovery,MULTI,2026-H1,2026-02-09,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/Aider-AI/aider | github.com/InternScience/InternAgent | github.com/MiroMindAI/MiroFlow,FULL_PIPELINE,,,1819,.8;.awsefa;.deepseek;.example;.jpg;.js;.json;.md;.megatron;.mp3;.mp4;.png
2602.10177,Towards Autonomous Mathematics Research,A1_discovery,MATH_FORMAL,2026-H1,2026-02-10,DISCOVERY,L4_FULL,SYSTEM,github.com/google-deepmind/superhuman | github.com/teorth/erdosproblems,FULL_PIPELINE,,,28,.cff;.css;.csv;.html;.js;.json;.md;.py;.svg;.txt;.yaml;.yml
2603.22363,Early Discoveries of Algorithmist I: Promise of Provable Algorithm Synthesis at Scale,A1_discovery,MATH_FORMAL,2026-H1,2026-03-23,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/gepa-ai/gepa | github.com/karpathy/autoresearch | github.com/skydiscover-ai/skydiscover,FULL_PIPELINE,,,572,.bin;.cff;.css;.csv;.dot;.drawio;.gif;.html;.ipynb;.jpeg;.jpg;.js
2604.01007,Omni-SimpleMem: Autoresearch-Guided Discovery of Lifelong Multimodal Agent Memory,A1_discovery,GENERAL_ML,2026-H1,2026-04-01,DISCOVERY,L3_CLOSED_LOOP,CASE_STUDY,github.com/aiming-lab/AutoResearchClaw | github.com/aiming-lab/SimpleMem,FULL_PIPELINE,,,749,.biology;.bst;.chemistry;.css;.economics;.env;.generic;.html;.js;.json;.math;.md
2604.05550,AutoSOTA: An End-to-End Automated Research System for State-of-the-Art AI Model Discovery,A1_discovery,GENERAL_ML,2026-H1,2026-04-07,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/karpathy/autoresearch,CODE_ONLY,,,10,.ipynb;.lock;.md;.png;.py;.toml
2604.05587,ResearchEVO: An End-to-End Framework for Automated Scientific Discovery and Documentation,A1_discovery,MULTI,2026-H1,2026-04-07,DISCOVERY,L4_FULL,SYSTEM,github.com/DataLab-atom/EvoAny,FULL_PIPELINE,,,98,.bib;.jpg;.js;.json;.lobster;.md;.png;.py;.ts;.txt;.yml
2605.06607,AI CFD Scientist: Toward Open-Ended Computational Fluid Dynamics Discovery with Physics-Aware AI Agents,A1_discovery,PHYSICS,2026-H1,2026-05-07,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/csml-rpi/cfd-scientist,CODE_ONLY,,,164,.md;.py;.pyc;.sh;.toml;.txt;.yaml
2605.13877,ARES-LSHADE: Autoresearch-Enhanced LSHADE with Memetic Polish for the GNBG Benchmark,A1_discovery,OTHER,2026-H1,2026-05-09,DISCOVERY,L3_CLOSED_LOOP,CASE_STUDY,github.com/anaeem1/ARES-LSHADE,CODE_ONLY,,,3043,.csv;.mat;.md;.pdf;.py;.pyc;.tsv;.txt
2605.21820,Beyond Scalar Objectives: Expert-Feedback-Driven Autonomous Experimentation for Scientific Discovery at the Nanoscale,A1_discovery,MATERIALS,2026-H1,2026-05-20,DISCOVERY,L2_PIPELINE,SYSTEM,github.com/rbulanadi/DeepKernelPairwiseLearning,DEMO_APP,,,15,.ipynb;.md;.npz
2606.10806,Moonshine: An Autonomous Mathematical Research Agent Centered on Conjecture Generation,A1_discovery,MATH_FORMAL,2026-H1,2026-06-09,DISCOVERY,L2_PIPELINE,SYSTEM,github.com/DeepMathLLM/Moonshine,CODE_ONLY,,,161,.md;.pdf;.py;.tex;.toml
2606.13662,EurekAgent: Agent Environment Engineering is All You Need For Autonomous Scientific Discovery,A1_discovery,MULTI,2026-H1,2026-06-11,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/THU-Team-Eureka/EurekAgent | github.com/algorithmicsuperintelligence/openevolve | github.com/karpathy/autoresearch | github.com/microsoft/playwright-mcp,FULL_PIPELINE,,,163,.csv;.html;.json;.jsonl;.md;.png;.py;.sh;.tcss;.toml;.yml
2606.13859,Closed-loop discovery of out-of-distribution processing protocols by evolutionary search and uncertainty-aware learning,A1_discovery,MATERIALS,2026-H1,2026-06-11,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/RichardLiuCoding/Publications | github.com/RichardLiuCoding/aespm,FULL_PIPELINE,,,64,.csv;.gz;.ipynb;.joblib;.md;.npz;.png;.py;.txt
2606.22866,Discovering Crystal Structure Prediction Algorithms with an AI Co-Scientist,A1_discovery,MATERIALS,2026-H1,2026-06-22,DISCOVERY,L2_PIPELINE,SYSTEM,github.com/karpathy/autoresearch | github.com/kiyoung98/HACO | github.com/kiyoung98/maskgxt,FULL_PIPELINE,,,31,.html;.js;.json;.md;.png;.pt;.py;.txt
2606.26448,Closing the Loop to Discover Psychological Theories with an Automated Cognitive Scientist,A1_discovery,SOCIAL_SCI,2026-H1,2026-06-24,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/akjagadish/autocog,DEAD,,,0,
2607.01639,Autonomous discovery of traffic laws with AI traffic scientists,A1_discovery,OTHER,2026-H2,2026-07-02,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/GuanwenZeng/Jam-prints | github.com/leiii/VisitationLaw,DEMO_APP,,,125,.cpp;.csv;.exe;.filters;.iobj;.ipdb;.lastbuildstate;.log;.md;.obj;.pdb;.png
2607.17762,Autonomous Discovery of Wireless Communications Algorithms,A1_discovery,OTHER,2026-H2,2026-07-20,DISCOVERY,L3_CLOSED_LOOP,SYSTEM,github.com/algorithmicsuperintelligence/openevolve | github.com/nvlabs/the-ai-telco-engineer,FULL_PIPELINE,,,110,.css;.html;.ipynb;.js;.json;.md;.mp4;.npy;.pdf;.pkl;.png;.py
2402.05200,Are LLMs Ready for Real-World Materials Discovery?,A2_auditability,MATERIALS,2024-H1,2024-02-07,CONCEPTUAL,NA,POSITION,github.com/M3RG-IITD/MatSci-LLM,STUB,,,3,.csv;.md
2501.04306,LLM4SR: A Survey on Large Language Models for Scientific Research,A2_auditability,GENERAL_ML,2025-H1,2025-01-08,CONCEPTUAL,NA,SURVEY,github.com/du-nlp-lab/LLM4SR,STUB,,,3,.md;.png
2502.05151,"Transforming Science with Large Language Models: A Survey on AI-assisted Scientific Discovery, Experimentation, Content Generation, and Evaluation",A2_auditability,GENERAL_ML,2025-H1,2025-02-07,CONCEPTUAL,NA,SURVEY,github.com/NL2G/TransformingScienceLLMs,STUB,,,6,.md;.png
2502.14297,"Evaluating Sakana's AI Scientist: Bold Claims, Mixed Results, and a Promising Future?",A2_auditability,GENERAL_ML,2025-H1,2025-02-20,CAPABILITY,L3_CLOSED_LOOP,CASE_STUDY,github.com/SakanaAI/AI-Scientist,FULL_PIPELINE,,,2326,.aux;.bbl;.bib;.blg;.bst;.csv;.gif;.ipynb;.jpeg;.json;.md;.npz
2504.12345,Reimagining Urban Science: Scaling Causal Inference with Large Language Models,A2_auditability,SOCIAL_SCI,2025-H1,2025-04-15,CONCEPTUAL,NA,POSITION,github.com/quao627/Urban-CI-LitReview,CODE_ONLY,,,6,.md;.py
2505.03049,"34 Examples of LLM Applications in Materials Science and Chemistry: Towards Automation, Assistants, Agents, and Accelerated Scientific Discovery",A2_auditability,MULTI,2025-H1,2025-05-05,CAPABILITY,L1_STAGE,CASE_STUDY,github.com/gradio-app/gradio | github.com/rahulnyk/graph_maker | github.com/unslothai/unsloth | huggingface.co/datasets/shangzhu/ChemQA,FULL_PIPELINE,,,3070,.avi;.bat;.bmp;.bundle;.cff;.cjs;.conf;.css;.csv;.gif;.glb;.gltf
2505.04651,"Scientific Hypothesis Generation and Validation: Methods, Datasets, and Future Directions",A2_auditability,MULTI,2025-H1,2025-05-06,CONCEPTUAL,NA,SURVEY,github.com/meta-llama/llama3,CODE_ONLY,,,20,.jpeg;.md;.py;.sh;.txt
2505.23559,SafeScientist: Toward Risk-Aware Scientific Discoveries by LLM Agents,A2_auditability,MULTI,2025-H1,2025-05-29,METHOD,L3_CLOSED_LOOP,SYSTEM,github.com/ulab-uiuc/tiny-scientist,FULL_PIPELINE,,,165,.css;.html;.ico;.js;.json;.jsx;.lock;.md;.pdf;.png;.py;.sh
2506.01372,AI Scientists Fail Without Strong Implementation Capability,A2_auditability,GENERAL_ML,2025-H1,2025-06-02,CONCEPTUAL,NA,POSITION,github.com/ResearAI/Awesome-AI-Scientist,STUB,,,8,.jpg;.md
2506.11113,Breaking the Reviewer: Assessing the Vulnerability of Large Language Models in Automated Peer Review Under Textual Adversarial Attacks,A2_auditability,GENERAL_ML,2025-H1,2025-06-08,METHOD,NA,BENCHMARK,github.com/Lin-TzuLing/Break | github.com/QData/TextAttack,FULL_PIPELINE,,,444,.bat;.cfg;.css;.csv;.ini;.ipynb;.json;.md;.pdf;.png;.py;.rst
2506.12385,Recent Advances and Future Directions in Literature-Based Discovery,A2_auditability,OTHER,2025-H1,2025-06-14,CONCEPTUAL,NA,SURVEY,github.com/akastrin/ida2025lbd,FULL_PIPELINE,,,51,.csv;.gz;.ipynb;.md;.png;.py;.txt;.yml
2506.12594,"A Comprehensive Survey of Deep Research: Systems, Methodologies, and Applications",A2_auditability,GENERAL_ML,2025-H1,2025-06-14,CONCEPTUAL,NA,SURVEY,github.com/AI-secure/RedCode | github.com/AI4ChemS/Eunomia | github.com/Agent-RL/ReSearch | github.com/AutoBench/AutoBench | github.com/DISL-Lab/UniSumEval-v1.0 | github.com/DataForScience/LLM4DS,FULL_PIPELINE,,,19,.csv;.ipynb;.md;.mp3;.mplstyle;.pdf;.png;.py;.sqlite;.txt;.wav
2506.18096,Deep Research Agents: A Systematic Examination And Roadmap,A2_auditability,GENERAL_ML,2025-H1,2025-06-22,CONCEPTUAL,NA,SURVEY,github.com/0russwest0/Agent-R1 | github.com/Fosowl/agenticSeek | github.com/MiroMindAI/MiroRL | github.com/ai-agents-2030/awesome-deep-research- | github.com/ai-agents-2030/awesome-deep-research-agent | github.com/bytedance/deer-flow,FULL_PIPELINE,,,2020,.cmd;.code-workspace;.conf;.css;.csv;.example;.html;.ico;.ini;.jpg;.js;.json
2507.15617,Why can't Epidemiology be automated (yet)?,A2_auditability,BIOMED,2025-H2,2025-07-21,CONCEPTUAL,NA,POSITION,github.com/Future-House/data-analysis-crow | github.com/edlowther/automated-epidemiology,CODE_ONLY,,,21,.csv;.docx;.ipynb;.md;.pdf;.wav
2507.23276,How Far Are AI Scientists from Changing the World?,A2_auditability,GENERAL_ML,2025-H2,2025-07-31,CONCEPTUAL,NA,SURVEY,github.com/ResearAI/Awesome-AI-Scientist,STUB,,,8,.jpg;.md
2508.05668,"A Survey of LLM-based Deep Search Agents: Paradigm, Optimization, Evaluation, and Challenges",A2_auditability,GENERAL_ML,2025-H2,2025-08-03,CONCEPTUAL,NA,SURVEY,github.com/FoundationAgents/OpenManus | github.com/langchain-ai/open_ | github.com/nickscamara/open-deep-research,FULL_PIPELINE,,,145,.html;.jpg;.json;.md;.png;.py;.toml;.ts;.txt;.yaml;.yml
2508.14111,From AI for Science to Agentic Science: A Survey on Autonomous Scientific Discovery,A2_auditability,MULTI,2025-H2,2025-08-18,CONCEPTUAL,NA,SURVEY,github.com/AgenticScience/Awesome-Agent-Scientists | github.com/InternLM/Intern-S1,STUB,,,23,.jpeg;.jpg;.md;.png;.yaml
2509.06733,Reinforcement Learning Foundations for Deep Research Systems: A Survey,A2_auditability,GENERAL_ML,2025-H2,2025-09-08,CONCEPTUAL,NA,SURVEY,github.com/MiroMindAI/MiroFlow | github.com/bytedance/deer-flow | github.com/dzhng/deep-research | github.com/wenjunli-0/deepresearch-survey | github.com/willccbb/verifiers,FULL_PIPELINE,,,559,.build;.example;.html;.in;.json;.lock;.md;.py;.runtime;.sh;.toml;.ts
2509.08713,"The More You Automate, the Less You See: Hidden Pitfalls of AI Scientist Systems",A2_auditability,GENERAL_ML,2025-H2,2025-09-10,METHOD,NA,BENCHMARK,github.com/niharshah/AIScientistPitfalls,CODE_ONLY,,,24990,.arrow;.aux;.bbl;.bib;.blg;.bst;.csv;.html;.joblib;.js;.json;.lock
2509.23426,Democratizing AI scientists using ToolUniverse,A2_auditability,BIOMED,2025-H2,2025-09-27,METHOD,NA,FRAMEWORK,github.com/QwenLM/qwen-code | github.com/deepset-ai/haystack | github.com/google-gemini/gemini-cli | github.com/langchain-ai/langchain | github.com/mims-harvard/ToolUniverse,FULL_PIPELINE,,,3022,.ambr;.cff;.csv;.dockerfile;.eml;.example;.gbnf;.gz;.html;.js;.json;.lock
2510.10994,Deep Research with Open-Domain Evaluation and Multi-Stage Guardrails for Safety,A2_auditability,GENERAL_ML,2025-H2,2025-10-13,METHOD,NA,FRAMEWORK,github.com/langchain-ai/open_deep_resear,DEAD,,,0,
2510.12367,LLM-REVal: Can We Trust LLM Reviewers Yet?,A2_auditability,GENERAL_ML,2025-H2,2025-10-14,CAPABILITY,NA,BENCHMARK,github.com/PlusLabNLP/LLM-REVal,FULL_PIPELINE,,,157,.bib;.bst;.json;.md;.npy;.pdf;.py;.pyc;.sh;.sty;.tex;.txt
2510.13081,Agentic Discovery: Closing the Loop with Cooperative Agents,A2_auditability,OTHER,2025-H2,2025-10-15,CONCEPTUAL,NA,POSITION,github.com/openai/swarm,FULL_PIPELINE,,,288,.cfg;.json;.jsonl;.md;.png;.py;.toml;.txt;.yaml
2510.23045,A Survey of AI Scientists,A2_auditability,MULTI,2025-H2,2025-10-27,CONCEPTUAL,NA,SURVEY,github.com/Mr-Tieguigui/Survey-for-AI-Scientist,STUB,,,4,.md;.png
2511.06701,Structural Enforcement of Statistical Rigor in AI-Driven Discovery: A Functional Architecture,A2_auditability,GENERAL_ML,2025-H2,2025-11-10,METHOD,NA,FRAMEWORK,github.com/karsar/ai-,DEAD,,,0,
2512.02038,Deep Research: A Systematic Survey,A2_auditability,GENERAL_ML,2025-H2,2025-11-24,CONCEPTUAL,NA,SURVEY,github.com/mangopy/Deep-Research-Survey | github.com/volcengine/verl,FULL_PIPELINE,,,1156,.0;.0_a2;.0_a3;.1;.12;.13;.15;.2_a2_qwen3-5;.2_a3_qwen3-5;.awsefa;.base;.css
2601.03315,Why LLMs Aren't Scientists Yet: Lessons from Four Autonomous Research Attempts,A2_auditability,GENERAL_ML,2026-H1,2026-01-06,CAPABILITY,L4_FULL,CASE_STUDY,github.com/Lossfunk/ai-scientist-artefacts-v1,DATA_ONLY,,,58,.json;.md;.pdf
2601.12910,SciCoQA: Quality Assurance for Scientific Paper--Code Alignment,A2_auditability,MULTI,2026-H1,2026-01-19,METHOD,NA,BENCHMARK,github.com/HPMolSim/FastSpecSoG.jl | github.com/bowenc0221/panoptic-deeplab | github.com/concavegit/kfda | github.com/en/rest | github.com/nz-gravity/sgvb_psd | github.com/saitta-s/INRs-4DFlowMRI,FULL_PIPELINE,,,74,.cff;.h5;.in;.ipynb;.md;.png;.py;.rst;.sh;.toml;.yaml;.yml
2602.19810,"From Agent-Only Social Networks to Autonomous Scientific Research: Lessons from OpenClaw and Moltbook, and the Architecture of ClawdLab and Beach.Science",A2_auditability,OTHER,2026-H1,2026-02-23,METHOD,UNCLEAR,SYSTEM,github.com/MoonshotAI/Kimi-K2 | github.com/bio-xyz/ClawdLab | github.com/karlrupp/microprocessor-trend-data | github.com/moleculeprotocol/science.beach | github.com/openclaw/openclaw | huggingface.co/datasets/SimulaMet/moltbook-observatory-archive,FULL_PIPELINE,,,28923,.bat;.browser;.cjs;.common;.css;.dockerfile;.entitlements;.example;.go;.html;.icns;.ico
2603.25780,A Judge Agent Closes the Reliability Gap in AI-Generated Scientific Simulation,A2_auditability,MULTI,2026-H1,2026-03-26,METHOD,L2_PIPELINE,SYSTEM,github.com/integritynoble/Physics_World_Model,FULL_PIPELINE,,,27027,.aux;.bbl;.bib;.blg;.bst;.cls;.csv;.docx;.example;.fdb_latexmk;.fls;.gz
2603.27416,Agent-Driven Autonomous Reinforcement Learning Research: Iterative Policy Improvement for Quadruped Locomotion,A2_auditability,GENERAL_ML,2026-H1,2026-03-28,CAPABILITY,L2_PIPELINE,CASE_STUDY,github.com/DeepRobotics/rl | github.com/isaac-sim/IsaacLab | github.com/karpathy/autoresearch,FULL_PIPELINE,,,3364,.base;.bat;.bib;.cff;.cloudxr-runtime;.cluster;.css;.curobo;.env;.html;.ico;.ini
2603.28361,"Deep Research of Deep Research: From Transformer to Agent, From AI to AI for Science",A2_auditability,MULTI,2026-H1,2026-03-30,CONCEPTUAL,NA,SURVEY,github.com/MiroMindAI/MiroFlow,FULL_PIPELINE,,,226,.avif;.lock;.md;.png;.py;.sh;.template;.toml;.typed;.xlsx;.yaml;.yml
2604.05952,Towards Trustworthy Report Generation: A Deep Research Agent with Progressive Confidence Estimation and Calibration,A2_auditability,OTHER,2026-H1,2026-04-07,METHOD,L2_PIPELINE,SYSTEM,github.com/langchain-ai/open_,DEAD,,,0,
2604.18805,AI scientists produce results without reasoning scientifically,A2_auditability,MULTI,2026-H1,2026-04-20,CAPABILITY,NA,BENCHMARK,huggingface.co/datasets/jablonkagroup/corral-QAs-topic_reports | huggingface.co/datasets/jablonkagroup/corral-intervention-reports | huggingface.co/datasets/jablonkagroup/corral-oss-trace-logprobs | huggingface.co/datasets/jablonkagroup/corral-reasoning-annotations | huggingface.co/datasets/jablonkagroup/corral_lfm_binomial_results | huggingface.co/datasets/jablonkagroup/questions4manual_annotation,DEAD,,,0,
2604.20441,MedSkillAudit: A Domain-Specific Audit Framework for Medical Research Agent Skills,A2_auditability,BIOMED,2026-H1,2026-04-22,METHOD,NA,BENCHMARK,github.com/aipoch/medical-research-skillsunder,DEAD,,,0,
2604.24658,The Last Human-Written Paper: Agent-Native Research Artifacts,A2_auditability,GENERAL_ML,2026-H1,2026-04-27,METHOD,NA,FRAMEWORK,github.com/AmberLJC/Agent-Native-Research-Artifact,FULL_PIPELINE,,,430,.css;.csv;.gif;.html;.js;.json;.md;.mjs;.pdf;.png;.py;.sbatch
2605.21481,AiraXiv: An AI-Driven Open-Access Platform for Human and AI Scientists,A2_auditability,GENERAL_ML,2026-H1,2026-05-20,CAPABILITY,L1_STAGE,SYSTEM,github.com/jlowin/fastmcp,FULL_PIPELINE,,,1508,.css;.jpeg;.js;.json;.lock;.md;.mdc;.mdx;.mp4;.png;.py;.sh
2605.23204,AutoResearch AI: Towards AI-Powered Research Automation for Scientific Discovery,A2_auditability,MULTI,2026-H1,2026-05-22,CONCEPTUAL,NA,SURVEY,github.com/AgentAlphaAGI/Idea2Paper | github.com/Aider-AI/aider | github.com/AkariAsai/OpenScholar | github.com/Alibaba-NLP/DeepResearch | github.com/All-Hands-AI/OpenHands | github.com/Future-House/paper-qa,FULL_PIPELINE,,,2568,.cff;.cjs;.css;.ico;.in;.ini;.j2;.js;.json;.lock;.mako;.md
2606.08256,"Traxia: A Framework for Verifiable, Agent-Native Scientific Publishing",A2_auditability,OTHER,2026-H1,2026-06-06,CONCEPTUAL,NA,FRAMEWORK,github.com/joaomdmoura/crewai,FULL_PIPELINE,,,25694,.css;.csv;.example;.gif;.j2;.js;.json;.jsonc;.lock;.md;.mdx;.mov
2606.08301,Unraveling the Ai2 Asta Scholarly Research Assistant Citation System,A2_auditability,OTHER,2026-H1,2026-06-06,CAPABILITY,L1_STAGE,CASE_STUDY,github.com/allenai/agent-baselines | github.com/allenai/asta-bench | huggingface.co/datasets/allenai/asta-summary-citation-counts,FULL_PIPELINE,,,192,.cff;.cfg;.json;.lock;.md;.py;.sh;.toml;.txt;.yaml;.yml
2606.09500,Deterministic Integrity Gates for LLM-Assisted Clinical Manuscript Preparation: An Auditable Biomedical Informatics Architecture,A2_auditability,BIOMED,2026-H1,2026-06-08,METHOD,NA,FRAMEWORK,github.com/Aperivue/medsci-skills,FULL_PIPELINE,,,2022,.bib;.cff;.cmd;.command;.csl;.csv;.docx;.gif;.j2;.js;.json;.jsonl
2606.11897,Notes2Skills: From Lab Notebooks to Certainty-Aware Scientific Agent Skills,A2_auditability,BIOMED,2026-H1,2026-06-10,METHOD,NA,FRAMEWORK,github.com/anthropics/skills,FULL_PIPELINE,,,411,.gz;.html;.js;.json;.md;.pdf;.py;.sh;.ttf;.txt;.xml;.xsd
2606.12848,(Human) Attention Is (Still) All You Need: Human oversight makes AI-assisted social science reliable,A2_auditability,SOCIAL_SCI,2026-H1,2026-06-11,METHOD,NA,FRAMEWORK,github.com/maxwell2732/hler-working-papers,CODE_ONLY,,,86,.md;.pdf;.png;.r
2606.23175,"Position: Correct Answer, Wrong Mechanism -- When AI Scientists Defend General Claims Their Own Data Contradicts",A2_auditability,PHYSICS,2026-H1,2026-06-22,CONCEPTUAL,NA,POSITION,github.com/seulig/g4 | github.com/seulig/g4_agent_icml_2026,CODE_ONLY,,,538,.json;.md;.png;.py;.root;.sh;.txt
2607.05682,FirstResearch: Auditable Question Formation for LLM Scientific Discovery Agents,A2_auditability,GENERAL_ML,2026-H2,2026-07-06,METHOD,NA,FRAMEWORK,github.com/louiswang524/FirstResearch,FULL_PIPELINE,,,289,.csv;.example;.json;.jsonl;.md;.py;.toml;.txt;.yaml
2607.07663,Recursive Self-Improvement in AI: From Bounded Self-Refinement to Autonomous Research Loops,A2_auditability,GENERAL_ML,2026-H2,2026-07-08,CONCEPTUAL,NA,SURVEY,github.com/bamboodrift/recursive_self_improvement,DEAD,,,0,
2607.07779,From Solvers to Research: Large Language Model-Driven Formal Mathematics at the Research Frontier,A2_auditability,MATH_FORMAL,2026-H2,2026-07-08,CONCEPTUAL,NA,POSITION,github.com/google-deepmind/formal-conjectures | github.com/project-numina/aimo-progress-prize | github.com/teorth/erdosproblems | github.com/teorth/estimates | huggingface.co/AI-MO/NuminaMath-CoT,FULL_PIPELINE,,,28,.cff;.css;.csv;.html;.js;.json;.md;.py;.svg;.txt;.yaml;.yml
