arxiv_id,final_decision,final_reason,rule_applied,justification,layer1_A,layer1_B,layer1_agreement,reverses_unanimous_include
2402.14873,exclude,EC7_HUMAN_AI_USE,BR5,"General AI-text detector method, explicitly out of scope.",exclude,borderline,needs_adjudication,0
2402.17168,exclude,EC8_GENERIC_ANALYSIS,BR6,"Benchmark for generic data-science/data-analysis agents, not scientific research framing.",borderline,borderline,needs_adjudication,0
2403.00998,exclude,EC1,none,"Methodological study of LLM scoring robustness; a model-property study, not AI-conducted research.",exclude,borderline,needs_adjudication,0
2403.01332,exclude,EC2,none,Fine-tuned LLM as a predictive instrument for DNA biophysics with no autonomous research decision loop.,exclude,exclude,agree,0
2403.04382,exclude,EC6_ASSISTIVE,BR1,Interactive ideation tool using colleague/mentor personas where the human researcher makes the research judgments.,include,include,agree,1
2403.07632,exclude,EC2,BR4,"ML drug-redesign and property-prediction framework used as an instrument, no autonomous decision loop as subject.",exclude,exclude,agree,0
2403.07965,exclude,EC1,none,Tutorial survey of conditional computation in neural architectures.,exclude,exclude,agree,0
2403.13815,include,IC1,BR4,Autonomous ARPES control that decides which measurements to acquire next from prior results.,include,include,agree,0
2403.16851,exclude,EC7_HUMAN_AI_USE,BR5,"LLMs used to flag retraction signals about human-authored papers; detection/integrity monitoring, not AI-produced research.",exclude,exclude,agree,0
2404.00478,exclude,EC7_HUMAN_AI_USE,BR5,Proposal for a forensic scientometrics discipline addressing human research misconduct.,exclude,exclude,agree,0
2404.01268,exclude,EC7_HUMAN_AI_USE,BR5,"Prevalence measurement of human LLM-assisted academic writing, not integrity of AI-produced research.",exclude,include,needs_adjudication,0
2404.02831,include,IC3,none,Position/vision paper specifically about autonomous biomedical AI research agents.,include,include,agree,0
2404.03353,exclude,EC1,none,"Language-model serving throughput benchmarking, unrelated to research automation.",exclude,exclude,agree,0
2404.04326,include,IC1,BR2,"Machine generation and iterative refinement of hypotheses over real data, validated against human-verified theories.",include,include,agree,0
2404.07738,include,IC1,none,"Agent autonomously defines problems, proposes methods and experiment designs with self-review.",include,include,agree,0
2404.08680,include,IC1,BR3,System autonomously performs the knowledge-synthesis stage of systematic literature reviews.,borderline,include,needs_adjudication,0
2404.12899,include,IC1,BR4,Theory-in-the-loop automated experiment that decides next measurements to minimize uncertainty.,include,include,agree,0
2404.14230,exclude,EC1,none,"Study of LLM manipulation of humans, not research-performing systems.",exclude,exclude,agree,0
2404.19244,exclude,EC7_HUMAN_AI_USE,BR5,"Institutional guidance for researchers using generative AI, not AI-conducted research.",borderline,include,needs_adjudication,0
2405.00706,exclude,EC3,none,"AI-generated lay summaries and public perception, no autonomous research system.",exclude,exclude,agree,0
2405.00972,exclude,EC2,BR4,"Chemistry tool-using QA agent serving as an instrument, without an autonomous research decision loop.",borderline,include,needs_adjudication,0
2405.06724,include,IC1,BR4,Active-learning system that selects the next biological experiments from prior results toward a self-driving lab.,include,include,agree,0
2405.07495,exclude,EC6_ASSISTIVE,BR1,R package helping human researchers run experiments on LLMs; humans make all research judgments.,exclude,exclude,agree,0
2405.07963,exclude,EC6_ASSISTIVE,BR3,"Conversational RAG retrieval aid over a human-curated library, not autonomous synthesis.",exclude,borderline,needs_adjudication,0
2405.12300,include,IC1,BR4,Platform implementing reward-driven closed-loop microscope workflows for autonomous discovery.,include,include,agree,0
2405.13352,include,IC2,none,Proposes benchmark tests specifically for evaluating autonomous AI scientists.,include,include,agree,0
2405.17631,include,IC1,BR4,Agent designs genetic perturbation experiments and reasons over outcomes in a closed loop.,include,include,agree,0
2405.20477,include,IC1,BR1,Multi-LLM system autonomously produces the substantive peer-review feedback on manuscripts.,include,include,agree,0
2406.04383,exclude,EC1,BR3,"LLM information-extraction evaluation on leaderboard tuples, not autonomous synthesis or a research loop.",exclude,borderline,needs_adjudication,0
2406.06459,exclude,EC2,BR4,"Bayesian-optimization preference-modeling contribution inside an external loop, not a research-agent subject.",borderline,include,needs_adjudication,0
2406.06769,include,IC2,none,Virtual environment and benchmark for automated scientific discovery agents.,include,include,agree,0
2406.07016,exclude,EC7_HUMAN_AI_USE,BR5,Prevalence estimation of human LLM-assisted writing in biomedical abstracts.,exclude,include,needs_adjudication,0
2406.07882,exclude,EC1,none,"Interpretability/transparency dashboard for chatbots, unrelated to AI-conducted research.",exclude,exclude,agree,0
2406.10291,include,IC2,BR7,"Benchmark for research agents on academic literature discovery, selection and organization.",include,include,agree,0
2406.11661,exclude,EC1,none,Socio-demographic prompting and cultural-bias study of LLMs as such.,exclude,exclude,agree,0
2406.12753,exclude,EC1,none,"Olympiad-problem reasoning benchmark for LLMs, measuring reasoning ability rather than performance of research lifecycle stages.",exclude,exclude,agree,0
2406.13163,include,IC1,BR4,"LLM agent autonomously proposes material modifications, evaluates outcomes, and self-reflects to decide next steps in a closed materials-discovery loop.",include,include,agree,0
2406.14275,exclude,EC6_ASSISTIVE,BR1,Personalization method for assisting human authors with scientific writing; the human makes the research judgments.,exclude,exclude,agree,0
2407.00466,include,IC2,none,Benchmark explicitly designed to evaluate AI Scientist biomedical agents on literature understanding and knowledge-graph checking.,include,include,agree,0
2407.01791,exclude,EC2,none,"VLM perception benchmark for microscopy image understanding, an instrument capability with no autonomous research decision loop.",exclude,exclude,agree,0
2407.06349,exclude,EC1,BR2,"Cognitive-science study of LLM recall/reasoning properties as such, not machine research production.",exclude,exclude,agree,0
2407.08270,exclude,EC2,BR4,Property-prediction model with automated data extraction used as an instrument; no closed experimental decision loop as subject.,exclude,borderline,needs_adjudication,0
2407.08422,exclude,EC1,none,"Security audit of LLM app stores, unrelated to AI performing research.",exclude,exclude,agree,0
2407.08940,include,IC2,BR2,"Dataset, metrics, and evaluation methodology for LLM generation of biomedical scientific hypotheses, an in-scope ideation stage.",include,include,agree,0
2407.09905,exclude,EC1,none,"General RL algorithmic contribution with experiment design only as motivation, not an autonomous research system.",exclude,exclude,agree,0
2407.10362,include,IC2,none,"Benchmark specifically measuring AI systems on practical biology research tasks, built toward automated research systems.",include,include,agree,0
2407.11054,exclude,EC7_HUMAN_AI_USE,BR5,"Review and policy guidance on researchers responsibly using generative AI tools in HTA workflows with human oversight, not autonomous AI research systems.",borderline,include,needs_adjudication,0
2407.12857,include,IC1,none,"Automated peer-review framework where the AI produces the reviews, performing the peer-review lifecycle stage.",include,include,agree,0
2407.12888,include,IC1,BR2,"System generates biomedical hypotheses (drug-disease links) in a real scientific domain, in scope even without a full agent loop.",borderline,include,needs_adjudication,0
2407.13364,exclude,EC2,BR4,"Theoretical active-exploration/experiment-design algorithm driven by an external loop, an optimizer contribution rather than an autonomous research system.",exclude,exclude,agree,0
2407.13993,include,IC1,BR3,"LLM system autonomously screens and extracts from literature, producing the relevance judgments itself for the review stage.",borderline,include,needs_adjudication,0
2407.16083,include,IC1,BR4,Self-driving lab with closed-loop active learning that decides what experiment to run next and discovers governing equations.,include,include,agree,0
2407.16606,exclude,EC1,none,"Robot-learning Foosball testbed, a generic agent/robotics platform not performing research stages.",exclude,exclude,agree,0
2407.17629,exclude,EC7_HUMAN_AI_USE,BR5,"AI-generated-text detector method, explicitly out of scope under the integrity boundary rule.",exclude,include,needs_adjudication,0
2407.18657,exclude,EC6_ASSISTIVE,BR3,"Workflow and tool suite orchestrating human reviewers and third-party tools for SLRs, not autonomous literature synthesis.",borderline,include,needs_adjudication,0
2407.19056,exclude,EC1,none,"Office-automation benchmark for LLM agents, not aimed at scientific research work.",exclude,exclude,agree,0
2408.01253,exclude,EC1,none,"Metareasoning/decision-theory framework for planning agents, a study of reasoning properties rather than research production.",exclude,exclude,agree,0
2408.05040,exclude,EC2,BR4,"Bayesian optimization library infrastructure driven by an external loop, not an autonomous experimental decision-making system as subject.",exclude,borderline,needs_adjudication,0
2408.05086,include,IC1,BR2,"Framework where LMs generate novel, lab-testable scientific hypotheses in a real domain (child language acquisition).",borderline,include,needs_adjudication,0
2408.06292,include,IC1,none,"End-to-end autonomous AI Scientist performing ideation, experimentation, writing, and simulated review.",include,include,agree,0
2408.06872,exclude,EC7_HUMAN_AI_USE,BR5,"Guidance and case studies on human researchers using GenAI tools responsibly, not AI-conducted research.",exclude,exclude,agree,0
2408.09675,exclude,EC1,none,"Survey of multi-agent RL for autonomous driving, unrelated to performing research.",exclude,exclude,agree,0
2408.14033,include,IC1,none,Autonomous LLM-agent framework that generates ideas and implements and runs ML experiments.,include,include,agree,0
2408.14487,include,IC1,BR4,Active-learning system that decides which biological experiments to run next from prior results toward a self-driving lab.,borderline,include,needs_adjudication,0
2408.14623,exclude,EC6_ASSISTIVE,BR1,Human-facing retrieval and writing interface where the researcher makes all judgments.,exclude,exclude,agree,0
2409.00217,exclude,EC1,none,"LLM rescoring for speech recognition, an ordinary NLP application.",exclude,exclude,agree,0
2409.02604,include,IC2,BR2,Benchmark for machine generation of causal-mechanism hypotheses framed as the scientific discovery ideation stage.,borderline,include,needs_adjudication,0
2409.04109,include,IC2,none,Evaluation methodology comparing an LLM research-ideation agent against expert researchers.,include,include,agree,0
2409.04481,exclude,EC2,none,Review of LLMs as predictive instruments across the drug pipeline with no autonomous research decision loop.,exclude,exclude,agree,0
2409.05258,include,IC1,none,"LLM framework that autonomously proposes, implements, and evaluates novel ML research components.",include,include,agree,0
2409.05556,include,IC1,BR2,Multi-agent system that autonomously generates and refines scientific hypotheses in materials science.,include,include,agree,0
2409.07703,exclude,EC8_GENERIC_ANALYSIS,BR6,"Benchmark of Kaggle-style data analysis and modeling tasks, not framed as scientific research.",borderline,borderline,needs_adjudication,0
2409.11363,include,IC2,none,Benchmark for research agents performing computational reproducibility of published studies.,include,include,agree,0
2409.12295,exclude,EC2,BR4,Acquisition-function/Bayesian-optimization contribution driven by an external loop rather than an autonomous experimental decision system as subject.,borderline,include,needs_adjudication,0
2409.12538,exclude,EC6_ASSISTIVE,BR1,LLM expert personas give feedback while the human researcher makes the ideation judgments.,borderline,borderline,needs_adjudication,0
2409.14602,exclude,EC6_ASSISTIVE,BR1,"Title generation aid for human authors, not a substantial autonomous research stage.",exclude,exclude,agree,0
2409.14634,exclude,EC6_ASSISTIVE,BR1,Human-in-the-loop facet recombination tool where users select and judge the ideas.,borderline,borderline,needs_adjudication,0
2409.14913,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,"Open-web analyst research benchmark for finance/consulting tasks, not scientific research work.",exclude,exclude,agree,0
2409.15890,exclude,EC1,none,"Psycholinguistic benchmark of LLM humanlikeness, a study of model properties as such.",exclude,exclude,agree,0
2409.16876,include,IC1,none,"TR-Agent autonomously ideates, formulates, implements, and evaluates traffic models in a closed research loop.",include,include,agree,0
2409.19006,exclude,EC1,none,Multi-agent framework for patent and IP management workflows rather than conducting science.,exclude,exclude,agree,0
2409.19552,exclude,EC2,BR4,"Deep-learning surrogate for spectra prediction used as an instrument, no research decision loop.",exclude,exclude,agree,0
2410.00240,exclude,EC1,BR1,Active-inference continual-learning agent with no substantive scientific research stage as its output.,borderline,borderline,needs_adjudication,0
2410.04025,exclude,EC6_ASSISTIVE,BR1,Interactive canvas providing literature-grounded feedback while the researcher develops the idea.,borderline,borderline,needs_adjudication,0
2410.05080,include,IC2,none,Benchmark evaluating language agents on tasks drawn from data-driven scientific discovery workflows.,include,include,agree,0
2410.06176,exclude,EC1,none,"Benchmark for smart-contract auditing, a software engineering domain unrelated to AI performing research.",exclude,exclude,agree,0
2410.06384,include,IC1,BR3,"LLM agent workflow autonomously extracts literature procedures and validates them by executing syntheses, covering literature and experiment stages.",include,include,agree,0
2410.09099,exclude,EC1,none,"Active-inference agents for federated learning system adaptation, not research conduct.",exclude,exclude,agree,0
2410.09290,exclude,EC2,BR4,Ranking surrogate for Bayesian optimization is a surrogate/acquisition contribution inside an external loop.,exclude,exclude,agree,0
2410.09403,include,IC1,none,"VirSci multi-agent system autonomously generates, evaluates, and refines scientific research ideas.",include,include,agree,0
2410.11468,exclude,EC2,none,"Sparse autoencoder interpretability method for gene-expression models used as an analysis instrument, no research decision loop.",exclude,exclude,agree,0
2410.11894,exclude,EC2,none,"Representation-learning framework for discovering dynamics from video, a modeling instrument rather than an autonomous research system.",exclude,exclude,agree,0
2410.13185,include,IC1,BR2,Chain-of-Ideas agent performs literature-grounded scientific ideation plus an evaluation protocol.,include,include,agree,0
2410.13713,exclude,EC2,BR4,Deep learning model for crystal structure analysis is a measurement/analysis instrument without an experimental decision loop.,exclude,exclude,agree,0
2410.14182,exclude,EC6_ASSISTIVE,BR1,"Safety-knowledge QA benchmark for LLMs advising human researchers, not an evaluation of autonomous research systems.",borderline,include,needs_adjudication,0
2410.14875,exclude,EC7_HUMAN_AI_USE,BR5,"AI-text detection method study, explicitly out of scope.",exclude,exclude,agree,0
2410.16531,exclude,EC1,none,General in-context-learning scaling law study of LLM properties.,exclude,exclude,agree,0
2410.16618,exclude,EC1,none,"Systematization of dataset copyright auditing in ML, unrelated to AI-produced research.",exclude,exclude,agree,0
2410.17309,include,IC1,BR2,Method for LLM generation of scientific hypotheses combining literature and data.,include,include,agree,0
2410.20221,exclude,EC1,none,"Essay on generative linguistics' contribution to AI, no research-performing system.",exclude,exclude,agree,0
2411.00816,include,IC1,none,CycleResearcher/CycleReviewer autonomously produce papers and peer reviews across the research cycle.,include,include,agree,0
2411.02382,include,IC1,BR2,KG-CoI system generates knowledge-grounded scientific hypotheses with hallucination checking.,include,include,agree,0
2411.02429,include,IC2,none,IdeaBench is a benchmark and evaluation framework for LLM research idea generation.,include,include,agree,0
2411.03743,include,IC1,BR6,PROTEUS autonomously plans and runs proteomics analyses and generates biological hypotheses from domain science data.,include,include,agree,0
2411.05000,exclude,EC1,none,Long-context retrieval capability evaluation of LLMs.,exclude,exclude,agree,0
2411.06590,include,IC1,none,CriticAL autonomously performs the analysis/critique stage by generating and hypothesis-testing discrepancies in scientific models.,include,include,agree,0
2411.08804,exclude,EC8_GENERIC_ANALYSIS,BR6,"Equity research agent for financial analysis, not scientific research.",exclude,exclude,agree,0
2411.09892,exclude,EC2,BR4,Robotic measurement/characterization capability for a self-driving lab without an autonomous experiment-selection loop.,borderline,include,needs_adjudication,0
2411.11731,exclude,EC1,none,"Study of LLM susceptibility to moral persuasion, a generic LLM property study.",exclude,exclude,agree,0
2411.11910,include,IC1,none,Baby-AIGS is a full-process multi-agent AI-generated-science system with explicit falsification.,include,include,agree,0
2411.14456,include,IC1,BR2,"AI system generates and self-refines scientific research topics (ideation) in a real biomedical domain, with the AI producing the substantive output.",include,include,agree,0
2411.15221,exclude,EC2,none,"Hackathon outcomes report on diverse LLM applications in chemistry/materials; no autonomous research system, benchmark, or framework for such systems is the primary subject.",borderline,borderline,needs_adjudication,0
2411.17260,exclude,EC2,none,"Micro-CT dataset and computer-vision detection models used as scientific instruments, with no autonomous research decision loop as subject.",exclude,exclude,agree,0
2411.17943,exclude,EC7_HUMAN_AI_USE,BR5,"Evaluation methodology for GenAI enhancement of human-written scientific manuscripts; human use of AI writing assistance, not AI-conducted research.",exclude,exclude,agree,0
2411.18583,include,IC1,BR3,"System that autonomously generates literature reviews from input PDFs, performing the literature-synthesis stage without a human producing the output.",borderline,include,needs_adjudication,0
2412.07978,include,IC1,BR4,"k-agents autonomously plan, execute, and analyze quantum lab experiments with closed-loop feedback control.",include,include,agree,0
2412.09385,exclude,EC1,none,"Primary subject is LLM forecasting/reasoning capability on a speculative AGI-prediction task; the automated peer-review component serves that capability study, not scientific research production.",borderline,include,needs_adjudication,0
2412.09429,include,IC1,none,"BioResearcher is an end-to-end multi-agent system autonomously performing literature processing, experiment design, and programming for biomedical research.",include,include,agree,0
2412.09628,exclude,EC2,none,Bibliometric meta-analysis of the AI4Science literature using LLMs as extraction instruments; no autonomous research system is the subject.,exclude,borderline,needs_adjudication,0
2412.12036,exclude,EC2,BR4,System-identification/equation-learning method used as a modeling instrument; no closed experimental decision loop as the paper's subject.,exclude,exclude,agree,0
2412.12347,include,IC1,BR4,"AutoSciLab autonomously generates, selects, and interprets experiments in a closed loop, deciding what to run next from prior results.",include,include,agree,0
2412.12456,exclude,EC1,none,"Survey of GNN+LLM graph learning methods; generic ML methodology, not AI performing research.",exclude,exclude,agree,0
2412.13612,include,IC2,BR3,"Evaluation framework and metrics specifically for LLM systems automating literature review tasks (reference generation, summarization, review composition).",include,include,agree,0
2412.13645,exclude,EC1,BR2,"Study of LLM inductive-reasoning priors on general real-world tasks, not scientific hypothesis generation in a scientific domain.",borderline,borderline,needs_adjudication,0
2412.14141,include,IC1,BR2,LLM framework that autonomously generates scientific research ideas via cross-domain retrieval and combinatorial recombination.,include,include,agree,0
2412.14222,exclude,EC8_GENERIC_ANALYSIS,BR6,"Survey of LLM data-science agents for generic data analysis and statistical tooling, not agents framed as performing scientific research.",include,borderline,needs_adjudication,0
2412.14626,include,IC1,BR2,SFT+RL-trained system that autonomously generates scientific research ideas with controllable novelty/feasibility/effectiveness.,include,include,agree,0
2412.16160,exclude,EC1,none,"ML forecasting pipeline for stock prices; 'autonomous' refers to feature selection, not a research-performing agent.",exclude,exclude,agree,0
2412.16270,include,IC1,BR2,"MetaScientist's AI generates scientific hypotheses and synthesizes metamaterial designs, with humans validating rather than producing the output.",include,include,agree,0
2412.17596,include,IC2,BR2,LiveIdeaBench is a benchmark specifically for evaluating LLM scientific idea generation across scientific domains.,include,include,agree,0
2412.20138,exclude,EC1,none,"Multi-agent LLM framework for financial trading, not scientific research work.",exclude,exclude,agree,0
2501.01451,include,IC3,none,Position/framework and case study explicitly about adapting autonomous AI scientist approaches (arguing for human-AI teaming) to BCI and neuroscience research.,include,include,agree,0
2501.04227,include,IC1,none,"Agent Laboratory autonomously performs literature review, experimentation, and report writing end to end from a human-provided idea.",include,include,agree,0
2501.04306,include,IC3,none,"Systematic survey specifically of LLMs performing stages of the scientific research lifecycle, with methodologies and benchmarks.",include,include,agree,0
2501.08120,include,IC1,BR2,Reasoning framework built for automated scientific discovery whose demonstrations include machine generation of scientific hypotheses in materials science.,borderline,borderline,needs_adjudication,0
2501.09021,exclude,EC7_HUMAN_AI_USE,BR5,"Institutional/ethics guidance for human researchers using GenAI tools, not about integrity of AI-conducted research.",exclude,include,needs_adjudication,0
2501.10385,include,IC1,BR4,"AILA agents autonomously drive AFM experiments across the workflow, plus the AFMBench evaluation suite for such agents.",include,include,agree,0
2501.16084,include,IC3,BR3,Position paper specifically about automating research synthesis and systematic-review stages with LLMs.,include,include,agree,0
2502.01059,exclude,EC6_ASSISTIVE,BR1,"RAG-based query-answering assistant for photosynthesis researchers; humans make the research judgments, no autonomous synthesis output.",exclude,include,needs_adjudication,0
2502.01118,exclude,EC1,none,"LLM-enhanced multi-armed bandit algorithms, generic decision-making not aimed at performing research.",exclude,exclude,agree,0
2502.01812,exclude,EC1,none,"General-purpose hallucination detection framework and math benchmark, not about AI-conducted research.",exclude,exclude,agree,0
2502.01989,exclude,EC1,BR2,"Test-time scaling for diffusion-model reasoning on toy puzzles (Maze, Sudoku), a study of reasoning properties as such.",exclude,exclude,agree,0
2502.04644,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,"General tool-using agentic reasoning/deep-research framework evaluated on generic reasoning and search tasks, not scientific research work.",borderline,exclude,needs_adjudication,0
2502.04944,exclude,EC7_HUMAN_AI_USE,BR5,"Detection of tortured phrases from human paper-mill paraphrasing-tool misuse, not fraud from AI research pipelines.",exclude,borderline,needs_adjudication,0
2502.05151,include,IC3,none,"Survey specifically of AI systems performing scientific lifecycle stages (ideation, experimentation, writing, peer review) including integrity risks.",include,include,agree,0
2502.05735,exclude,EC2,BR4,"Bayesian-optimization method contribution for design formulation; an optimizer-style component, not an autonomous experimental decision-loop system as subject.",borderline,include,needs_adjudication,0
2502.06851,include,IC1,BR3,"Case-study demonstration of an AI autonomously generating a literature review, with discussion of frameworks for automated review generation.",include,include,agree,0
2502.09858,include,IC1,BR4,Popper's LLM agents autonomously design and execute falsification experiments to validate scientific hypotheses.,include,include,agree,0
2502.10554,exclude,EC1,none,"Benchmarks general decision-making rationality of LLMs, a study of model reasoning properties, not research systems.",exclude,exclude,agree,0
2502.12510,include,IC2,none,Evaluation methodology (perturbation framework) for the robustness of LLM automated peer-review systems.,include,include,agree,0
2502.12700,exclude,EC1,none,Generic inference-time diversity method for LLM generation; AI-scientist agents appear only as motivation.,exclude,exclude,agree,0
2502.14297,include,IC3,none,Independent evaluation/case study of an autonomous AI research system (Sakana's AI Scientist).,include,include,agree,0
2502.14499,include,IC2,none,MLGym framework and benchmark specifically for evaluating and training AI research agents.,include,include,agree,0
2502.15214,exclude,EC1,none,"Survey of LLM/VLM integration into reinforcement learning, unrelated to AI performing research.",exclude,exclude,agree,0
2502.15224,exclude,EC1,BR2,"Oracle-guided inductive discovery on toy abstractions (graphs, hidden structures), a controlled reasoning diagnostic rather than scientific-domain research.",include,include,agree,1
2502.15429,exclude,EC7_HUMAN_AI_USE,BR5,"Detector tool for fraudulent/retracted human-authored biomedical articles, not integrity of AI-produced research.",exclude,exclude,agree,0
2502.16487,include,IC3,BR5,Integrity study documenting plagiarism in research documents produced by autonomous AI research agents.,include,include,agree,0
2502.16634,exclude,EC1,none,"Reinforcement-learning option discovery for game playing, unrelated to scientific research.",exclude,exclude,agree,0
2502.18864,include,IC1,BR2,"Multi-agent Co-Scientist autonomously generates, critiques, and refines novel scientific hypotheses in real biomedical domains.",include,include,agree,0
2502.19519,exclude,EC1,none,"Agentic game-master AI for role-playing games, a generic agent application.",exclude,exclude,agree,0
2502.20560,exclude,EC1,none,"Conformal factuality control for general LVLM outputs, not an AI system performing research or the integrity of AI-conducted research.",exclude,exclude,agree,0
2503.01508,include,IC2,none,"Novelty-assessment algorithm and test sets built specifically to evaluate AI-generated research ideas, an evaluation methodology for autonomous research systems.",include,include,agree,0
2503.03503,exclude,EC2,BR4,"Molecular optimization tool without a closed experimental decision loop as the paper's subject; the literature agent assists candidate selection, not autonomous research.",borderline,borderline,needs_adjudication,0
2503.04921,exclude,EC2,none,"CI/CD and DevOps automation infrastructure for research software, no autonomous research decision loop.",exclude,exclude,agree,0
2503.05577,exclude,EC2,BR4,"Domain dataset for training pXRD analysis models — measurement/instrument capability, not a benchmark for autonomous research agents.",exclude,exclude,agree,0
2503.05712,include,IC2,none,Proposes automatic evaluation metrics specifically for AI-generated scientific research outputs.,include,include,agree,0
2503.08506,include,IC1,BR1,"Multi-agent LLM system that autonomously produces academic peer reviews (a lifecycle stage), plus a benchmark for such reviews.",include,include,agree,0
2503.08979,include,IC3,none,Survey specifically of agentic AI systems performing scientific discovery across the research lifecycle.,include,include,agree,0
2503.11664,exclude,EC8_GENERIC_ANALYSIS,BR6,"Insight generation over business/enterprise databases framed as data analysis, not scientific research with hypotheses or domain science claims.",exclude,exclude,agree,0
2503.13399,include,IC2,BR2,"Benchmark evaluating research-lifecycle capabilities (hypothesis generation, experiment proposal) on real domain-science microscopy data.",include,include,agree,0
2503.13503,exclude,EC2,none,"Assesses AI-ready scientific data and general LLM science knowledge/capability, not systems that autonomously perform research.",borderline,include,needs_adjudication,0
2503.16041,exclude,EC9_GENERIC_DEEPRESEARCH,BR7,"Deep-search/report-generation agent for carbon market and policy intelligence, not scientific/academic research work.",borderline,borderline,needs_adjudication,0
2503.18102,include,IC1,none,"Framework for autonomous agent laboratories that produce, share, and iteratively build on research results.",include,include,agree,0
2503.18213,exclude,EC1,none,Survey of neuro-symbolic AI methods and healthcare applications; no autonomous research system is the subject.,exclude,exclude,agree,0
2503.18865,include,IC1,BR2,LLM reasoning-guided framework that machine-generates scientific ideation via knowledge recombination in real research domains.,include,include,agree,0
2503.19092,exclude,EC1,none,"Study of LLM bias in information-retrieval evaluation pipelines, not AI performing or being evaluated as a research producer.",exclude,exclude,agree,0
2503.19257,include,IC1,BR2,LLM framework that generates and iteratively refines scientific research ideas from publications — machine ideation in real scientific domains.,include,include,agree,0
2503.19309,include,IC1,BR2,"MCTS-based framework autonomously generating and refining scientific hypotheses across biomedicine, social science, and CS.",include,include,agree,0
2503.19537,exclude,EC1,none,"Phone UI automation agent interaction dataset, unrelated to performing research.",exclude,exclude,agree,0
2503.19941,exclude,EC1,none,"Embodied AI body-discovery challenge and simulator, not an autonomous research system.",exclude,exclude,agree,0
2503.21267,exclude,EC7_HUMAN_AI_USE,BR5,Integrity study of human paper-mill contamination in a journal; no AI research pipeline or AI-produced artifacts as subject.,exclude,exclude,agree,0
2503.22444,include,IC3,none,Position paper on autonomous generalist AI/robot scientists automating the entire research lifecycle and resulting scaling laws.,include,include,agree,0
2503.22708,include,IC1,none,"End-to-end autonomous discovery system performing ideation, code-based experimentation, and evaluation of generated research.",include,include,agree,0
2503.22978,exclude,EC6_ASSISTIVE,BR1,Prompt-engineering guidance for human researchers using LLMs to assist thematic analysis; the human makes the research judgments.,exclude,exclude,agree,0
2503.23170,include,IC1,BR2,"Multi-agent system that autonomously generates, literature-checks, and critiques scientific hypotheses from mass spectrometry data.",include,include,agree,0
2503.23616,exclude,EC2,none,"Review of interpretable ML models used as scientific instruments in physics, with no autonomous research decision loop as subject.",exclude,exclude,agree,0
2503.24047,include,IC3,none,Survey specifically of LLM-based scientific agents that automate research lifecycle stages from hypothesis generation to analysis.,include,include,agree,0
2504.00986,exclude,EC2,BR4,"Orchestration and scheduling infrastructure for self-driving labs; the paper's contribution is workflow/instrument integration, not a system that decides what experiment to run next.",borderline,include,needs_adjudication,0
2504.01848,include,IC2,none,"Benchmark evaluating AI agents' ability to autonomously replicate research papers, including experiment execution.",include,include,agree,0
2504.01911,include,IC1,BR1,"Multi-agent LLM system autonomously performs physics reasoning and builds/validates science models, with the human interacting rather than producing the analysis.",include,include,agree,0
