item_id,arxiv_id,verifier,corruption,flagged,note
a2-0015,2604.15411,fable,none,0,Benchmark of end-to-end physics research workflows for LLMs; IC2/BENCHMARK/NA/METHOD correct.
a2-0016,2604.21068,fable,none,0,LLM hypothesis generation coupled to first-principles validation producing new validated compounds; SYSTEM/L2/DISCOVERY defensible.
a2-0017,2601.21654,fable,none,0,Evaluation environment isolating the information-gathering stage of deep research; IC2/BENCHMARK/NA/METHOD correct.
a2-0018,2504.21776,fable,none,0,"Deep research agent interleaving search, navigation and report drafting; SYSTEM/L2/CAPABILITY defensible as multi-stage."
a2-0019,2606.17076,fable,none,0,Agentic system running autonomous climate analysis with an adversarial self-review loop; SYSTEM/L3/CAPABILITY fit.
a2-0000,2607.16262,opus,none,0,Autonomous multi-agent discovery engine generating hypotheses and analyses end-to-end with a claimed new biological finding; IC1/SYSTEM/L3/DISCOVERY all fit.
a2-0001,2511.04583,opus,none,0,Autonomous AI scientist seeded by a human-provided baseline paper then running ideation-to-writing itself; L3 rather than L4 is correct and CAPABILITY fits.
a2-0002,2601.22638,opus,none,0,Multi-agent system that generates peer reviews (one research stage) evaluated on ~1800 submissions; IC1/SYSTEM/L1_STAGE/CAPABILITY defensible.
a2-0003,2603.29632,opus,none,0,Controlled empirical comparison of multi-agent architectures for autoresearch yielding design guidelines; FRAMEWORK/NA/METHOD is defensible.
a2-0004,2605.26870,opus,none,1,"Autonomy is overstated: this is a single-investigator persistent human-agent environment where the researcher makes the research judgments, so it should be L0_ASSISTIVE, not L2_PIPELINE."
a2-0005,2605.10899,opus,none,0,"RL training framework for deep research agents that plan, search and synthesize reports; IC1/FRAMEWORK/METHOD defensible."
a2-0006,2601.09688,opus,none,0,Automated task-construction and evaluation framework specifically for deep research systems; IC2/BENCHMARK/NA/METHOD fits.
a2-0007,2510.06135,opus,none,0,"Test-time scaling method for deep search/deep research agents, in scope under the deep-research rule; FRAMEWORK/NA/METHOD defensible."
a2-0008,2605.16217,opus,none,0,New deep research agent system doing multi-step search and evidence synthesis; SYSTEM/L1_STAGE/CAPABILITY fits.
a2-0009,2502.14499,opus,none,0,Gym environment and benchmark for AI research agents; IC2/BENCHMARK/NA/METHOD correct.
a2-0010,2507.08350,opus,none,0,Systematic study of multi-agent dialogue designs for the ideation stage yielding design guidelines; IC1/FRAMEWORK/NA/METHOD defensible.
a2-0011,2505.23852,opus,none,0,Agent team autonomously writes and executes code to reproduce published findings across analysis stages; SYSTEM/L3/CAPABILITY defensible.
a2-0012,2605.25964,opus,CODE_DRIFT,0,"Framework for automated scientific Introduction writing, a report-writing stage component; codes are defensible."
a2-0013,2505.11718,opus,none,0,Trained model that autonomously generates peer reviews; IC1/SYSTEM/L1_STAGE/CAPABILITY fits.
a2-0014,2510.24701,opus,none,0,Deep research agent model doing long-horizon information seeking; in scope under the deep-research rule with SYSTEM/L1_STAGE/CAPABILITY.
a2-0015,2604.15411,opus,none,0,Benchmark of end-to-end physics research workflows for LLM research agents; IC2/BENCHMARK/NA/METHOD correct.
a2-0016,2604.21068,opus,none,0,LLM hypothesis generation coupled to first-principles validation producing new validated materials; SYSTEM/L2_PIPELINE/DISCOVERY defensible.
a2-0017,2601.21654,opus,none,0,Evaluation environment isolating the information-gathering stage of deep research; IC2/BENCHMARK/NA/METHOD correct.
a2-0018,2504.21776,opus,none,1,"Autonomy code is wrong: WebThinker interleaves search and report drafting with no human approval gates, so it is L1_STAGE (or L3), not L2_PIPELINE."
a2-0019,2606.17076,opus,none,0,"Agentic system that autonomously plans, executes and adversarially self-reviews climate analyses; SYSTEM/L3/CAPABILITY fits."
a2-0020,2606.26294,fable,none,0,Self-improving system co-evolving paper writers/reviewers is IC1; SYSTEM/L3/METHOD all defensible.
a2-0021,2605.03202,fable,none,0,Explicit position paper on peer-review automation integrity; IC3/POSITION/NA/CONCEPTUAL correct.
a2-0022,2604.19792,fable,none,0,Platform where AI agents publish and peer-review papers with no human gatekeeper; IC1/SYSTEM/L4/CAPABILITY defensible.
a2-0023,2510.15280,fable,none,0,Self-described position paper framing autonomous scientific discovery; IC3/POSITION/CONCEPTUAL correct.
a2-0024,2512.00986,fable,none,0,Benchmark plus evaluation paradigm for academic deep research agents; IC2/BENCHMARK/NA/METHOD correct.
a2-0025,2606.19893,fable,none,0,"Design-only training framework for deep research agents with planned validation, so FRAMEWORK/NA/METHOD is defensible."
a2-0026,2606.24894,fable,none,0,Benchmark for the scientific-writing stage (related work generation); IC2/BENCHMARK/METHOD correct.
a2-0027,2606.02060,fable,none,0,TELBench plus DRIFT auditing of deep-research agent trajectories; IC2/BENCHMARK/METHOD defensible.
a2-0028,2606.26448,fable,none,0,Fully autonomous closed-loop cognitive scientist yielding a new confirmed theory; IC1/SYSTEM/L3/DISCOVERY correct.
a2-0029,2509.24978,fable,none,0,Agent autonomously explores physics systems and recovers known laws; IC1/SYSTEM/L3/CAPABILITY correct.
a2-0030,2511.14631,fable,none,0,VLM-guided multi-agent end-to-end discovery with self-correction; IC1/SYSTEM/L3/CAPABILITY correct.
a2-0031,2605.21820,fable,none,1,"claim_strength should be METHOD, not DISCOVERY: the abstract's contribution is the DKPL approach, with nanoscale results as demonstrations (cf. the near-identical a2-0036 coded METHOD)."
a2-0032,2605.14790,fable,none,1,"autonomy should be L1_STAGE, not NA: the paper presents a fine-tuned model that performs ideation end-to-end (cf. a2-0038 coded L1_STAGE)."
a2-0033,2412.07978,fable,none,0,Agents autonomously plan and execute quantum-processor experiments in closed loop; IC1/SYSTEM/L3/CAPABILITY correct.
a2-0034,2510.26887,fable,REASON_SWAP,1,"reason should be IC1, not IC3: Denario is a multi-agent system that itself performs ideation through paper writing, consistent with the SYSTEM/L3 coding."
a2-0035,2606.07462,fable,none,0,Benchmark suite evaluating agents across research-lifecycle scenarios; IC2/BENCHMARK/NA/METHOD correct.
a2-0036,2603.12618,fable,none,0,Human-AI autonomous experimentation loop with proxy surrogate voting; IC1/SYSTEM/L2/METHOD defensible.
a2-0037,2504.01848,fable,CODE_DRIFT,1,"autonomy should be NA: PaperBench presents a benchmark, not a system of its own, so L4_FULL is wrong."
a2-0038,2607.00924,fable,none,0,Fine-tuned graph-native models generating hypotheses (one stage); IC1/SYSTEM/L1_STAGE/METHOD defensible.
a2-0039,2501.04306,fable,none,0,Survey of LLMs across the research cycle including review and writing; IC3/SURVEY/NA/CONCEPTUAL correct.
a2-0020,2606.26294,opus,none,0,"Self-improving system co-evolving agents and evaluators, demonstrated on paper writing/reviewing; SYSTEM/L3/METHOD all defensible under IC1."
a2-0021,2605.03202,opus,none,0,Explicit position paper on integrity/evaluation of AI peer review; IC3/POSITION/NA/CONCEPTUAL correct.
a2-0022,2604.19792,opus,none,0,"Platform where AI agents write, review and score papers with no human gatekeeper; IC1/SYSTEM/L4_FULL/CAPABILITY defensible."
a2-0023,2510.15280,opus,none,0,Self-described position paper on paradigm transition toward autonomous discovery; IC3/POSITION/NA/CONCEPTUAL correct.
a2-0024,2512.00986,opus,none,0,Benchmark plus evaluation paradigm for academic deep research agents; IC2/BENCHMARK/NA/METHOD correct.
a2-0025,2606.19893,opus,none,0,"Deep-research agent training framework with only planned validation, so FRAMEWORK/NA autonomy is defensible under IC1."
a2-0026,2606.24894,opus,none,0,Benchmark and metrics for related-work (scientific writing) generation; IC2/BENCHMARK/NA/METHOD correct.
a2-0027,2606.02060,opus,none,0,TELBench is the headline artifact for auditing deep-research agent trajectories; IC2/BENCHMARK/NA/METHOD defensible.
a2-0028,2606.26448,opus,none,0,Closed-loop autonomous cognitive scientist that surfaced and preregistered a novel theory; SYSTEM/L3/DISCOVERY correct.
a2-0029,2509.24978,opus,none,0,Agent autonomously runs experiment-analysis-hypothesis loops on physics models; SYSTEM/L3/CAPABILITY correct.
a2-0030,2511.14631,opus,none,0,VLM-guided multi-agent system doing end-to-end discovery without human intervention; SYSTEM/L3/CAPABILITY correct.
a2-0031,2605.21820,opus,none,1,"recorded_claim_strength should be METHOD, not DISCOVERY: the paper's claim is a better way to drive autonomous microscopy (DKPL), with the domain-wall results serving as demonstrations."
a2-0032,2605.14790,opus,none,1,"recorded_autonomy should be L1_STAGE, not NA: the fine-tuned GoR model performs the ideation stage end-to-end."
a2-0033,2412.07978,opus,none,0,"k-agents autonomously planned, executed and analyzed quantum experiments in closed loop; SYSTEM/L3/CAPABILITY correct."
a2-0034,2510.26887,opus,REASON_SWAP,1,"recorded_reason should be IC1, not IC3: Denario is a new multi-agent system that itself performs research stages and produced full AI-generated papers."
a2-0035,2606.07462,opus,none,0,Benchmark suite evaluating agents across research-lifecycle tasks; IC2/BENCHMARK/NA/METHOD correct.
a2-0036,2603.12618,opus,none,0,Human-AI teamed autonomous experimentation loop with human approval gates; IC1/SYSTEM/L2_PIPELINE/METHOD defensible.
a2-0037,2504.01848,opus,CODE_DRIFT,1,"recorded_autonomy should be NA: PaperBench presents a benchmark and judge, not a research system of its own, so no autonomy level is demonstrated."
a2-0038,2607.00924,opus,none,0,Fine-tuned graph-native models performing the hypothesis-generation stage; SYSTEM/L1_STAGE/METHOD defensible.
a2-0039,2501.04306,opus,none,0,Survey of LLMs across research-cycle stages; IC3/SURVEY/NA/CONCEPTUAL correct.
a2-0040,2602.02636,fable,none,0,Wide/deep research multi-agent system with search+synthesis; IC1 SYSTEM L1_STAGE CAPABILITY all defensible.
a2-0041,2507.16248,fable,none,0,Agent-as-a-Judge evaluation framework and question set for deep research agents; IC2 BENCHMARK NA METHOD correct.
a2-0042,2607.04508,fable,none,0,Agentic self-driving lab closing design-execute-analyze loop; IC1 SYSTEM L3_CLOSED_LOOP CAPABILITY defensible.
a2-0043,2603.16120,fable,none,0,Personalized deep research agent with user-approved actions; IC1 SYSTEM L2_PIPELINE and METHOD (evaluation-methodology thesis) defensible.
a2-0044,2402.05200,fable,none,0,Position paper on LLMs for autonomous materials discovery and self-driving labs; IC3 POSITION NA CONCEPTUAL correct.
a2-0045,2607.11079,fable,none,0,Capability benchmark for AI-scientist scientific data analysis; IC2 BENCHMARK NA METHOD correct.
a2-0046,2511.07327,fable,none,0,Deep-research agent paradigm with report synthesis; IC1 SYSTEM L1_STAGE CAPABILITY defensible.
a2-0047,2607.05762,fable,none,1,"recorded_autonomy is wrong: the multi-agent framework generates, executes, traces and validates full collider-physics analyses, so it demonstrates L1_STAGE, not NA."
a2-0048,2601.12542,fable,none,0,Multi-agent scientific discovery system with human checkpoints benchmarked on BixBench; IC1 SYSTEM L2_PIPELINE CAPABILITY defensible.
a2-0049,2506.21763,fable,none,0,Verification framework plus released fact-verification benchmark for AI-generated scientific ideas; IC2 FRAMEWORK NA METHOD defensible.
a2-0050,2605.17373,fable,REASON_SWAP,1,recorded_reason is wrong: an exclusion code (EC7_HUMAN_AI_USE) is attached to an include; this benchmark of AI research agents should be IC2.
a2-0051,2507.10522,fable,none,0,Agentic literature-synthesis system for ecology; IC1 SYSTEM L1_STAGE CAPABILITY correct.
a2-0052,2603.07416,fable,none,0,Speculation framework built specifically for deep research agents; include as FRAMEWORK/METHOD with NA autonomy is defensible.
a2-0053,2605.11518,fable,none,0,Trained research agent iterating over a multi-fidelity experiment environment; IC1 SYSTEM L3_CLOSED_LOOP CAPABILITY defensible.
a2-0054,2603.26177,fable,none,0,Empirical study of an LLM agent doing iterative experimental design with lab feedback; IC1 CASE_STUDY L1_STAGE CAPABILITY defensible.
a2-0055,2602.19810,fable,none,1,recorded_autonomy 'UNCLEAR' is not a valid value; the described autonomous multi-agent research platforms should be coded L3_CLOSED_LOOP (or NA if no system is demonstrated).
a2-0056,2606.29746,fable,none,0,Agentic medical deep-research platform producing citation-backed reports; IC1 SYSTEM L1_STAGE CAPABILITY correct.
a2-0057,2408.06292,fable,none,0,End-to-end idea-to-manuscript AI Scientist; IC1 SYSTEM L4_FULL CAPABILITY correct.
a2-0058,2507.05241,fable,FLIP,1,recorded_reason is wrong: an exclude decision carries inclusion code IC1; this exam-answering reasoning agent should be excluded under EC1.
a2-0059,2508.11987,fable,none,0,Live benchmark evaluating deep research agents on multi-step gathering and synthesis; IC2 BENCHMARK NA METHOD defensible.
a2-0040,2602.02636,opus,none,0,Wide/deep research multi-agent system with its own benchmark; include IC1 as SYSTEM at L1_STAGE with a capability claim is defensible.
a2-0041,2507.16248,opus,none,0,Agent-as-a-Judge evaluation framework and 70-question benchmark for deep research agents fits IC2/BENCHMARK/NA/METHOD.
a2-0042,2607.04508,opus,none,0,Agentic self-driving lab closing design-execute-analyze loop is correctly IC1/SYSTEM/L3_CLOSED_LOOP/CAPABILITY.
a2-0043,2603.16120,opus,none,0,"Personalized deep research agent with user-approved actions before report writing is properly IC1/SYSTEM/L2_PIPELINE, and the paper's thesis about evaluation supports METHOD."
a2-0044,2402.05200,opus,none,0,Position paper arguing for hypothesis-generating MatSci-LLMs and self-driving labs fits IC3/POSITION/NA/CONCEPTUAL.
a2-0045,2607.11079,opus,none,0,"SDABench is a capability benchmark for AI scientists doing scientific analysis, so IC2/BENCHMARK/NA/METHOD is defensible rather than EC8."
a2-0046,2511.07327,opus,none,0,IterResearch is a deep-research agent paradigm doing multi-step search and report synthesis; IC1/SYSTEM/L1_STAGE/CAPABILITY holds.
a2-0047,2607.05762,opus,none,1,"Autonomy is wrong: the multi-agent framework actually generates, executes, traces and validates analysis code end-to-end on collider physics analyses, so it should be L1_STAGE, not NA."
a2-0048,2601.12542,opus,none,0,"Multi-agent scientific discovery system with human checkpoints, benchmarked on BixBench; IC1/SYSTEM/L2_PIPELINE/CAPABILITY is defensible."
a2-0049,2506.21763,opus,none,0,Literature-derived evolution-tree framework plus released verification benchmark for validating AI-generated ideas supports IC2/FRAMEWORK/NA/METHOD.
a2-0050,2605.17373,opus,REASON_SWAP,1,"Reason code is wrong: an included benchmark of AI research agents should be IC2, not the exclusion code EC7_HUMAN_AI_USE."
a2-0051,2507.10522,opus,none,0,Agentic literature synthesis system for ecology questions is correctly IC1/SYSTEM/L1_STAGE/CAPABILITY.
a2-0052,2603.07416,opus,none,0,Speculation framework for deep research agents is an in-scope cross-system method; FRAMEWORK/NA/METHOD is defensible.
a2-0053,2605.11518,opus,none,0,"Agent trained to design, run and learn from multi-fidelity LLM experiments supports IC1/SYSTEM/L3_CLOSED_LOOP/CAPABILITY."
a2-0054,2603.26177,opus,none,0,Controlled case study of an LLM agent doing iterative perturbation-discovery design; IC1/CASE_STUDY/L1_STAGE/CAPABILITY is defensible.
a2-0055,2602.19810,opus,none,1,"recorded_autonomy 'UNCLEAR' is not a valid code; with two described autonomous research platforms it should be a level (or NA), and the paper is closer to FRAMEWORK/review than SYSTEM."
a2-0056,2606.29746,opus,none,0,Open-source medical deep research platform producing verified citation-backed reports fits IC1/SYSTEM/L1_STAGE/CAPABILITY.
a2-0057,2408.06292,opus,none,0,The AI Scientist runs ideation to full manuscript without human intervention; IC1/SYSTEM/L4_FULL/CAPABILITY is correct.
a2-0058,2507.05241,opus,FLIP,1,"Decision and reason contradict: IC1 is an inclusion criterion, so an exclusion of this HLE-solving reasoning agent should carry EC1 (or the record should be include)."
a2-0059,2508.11987,opus,none,0,Live benchmark evaluating deep research agents on multi-source information gathering and synthesis fits IC2/BENCHMARK/NA/METHOD.
a2-0060,2604.22861,fable,none,0,Agent that autonomously does literature-grounded evidence extraction/synthesis; IC1 SYSTEM L1_STAGE CAPABILITY all fit.
a2-0061,2511.11793,fable,none,0,"Open-source deep-research agent (multi-step search plus synthesis), explicitly in scope under IC1; codes fit."
a2-0062,2502.04644,fable,none,1,"recorded_autonomy NA is wrong: the paper implements and evaluates a deployed deep-research agent, so it should be L1_STAGE."
a2-0063,2603.20101,fable,none,1,recorded_autonomy NA is wrong: the paper builds a research agent that iteratively designs experiments and refines hypotheses (L3_CLOSED_LOOP).
a2-0064,2602.07943,fable,none,0,Multi-agent system proposing/critiquing candidate instruments is a research-ideation-stage system; IC1 SYSTEM L1_STAGE CAPABILITY defensible.
a2-0065,2604.20441,fable,CODE_DRIFT,1,"Paper type is wrong: an audit protocol for research agent skills is a FRAMEWORK (claim METHOD), not a BENCHMARK with CAPABILITY claim."
a2-0066,2603.07444,fable,none,0,Multi-agent empirical-research pipeline with explicit human decision gates; IC1 SYSTEM L2_PIPELINE CAPABILITY all correct.
a2-0067,2601.01678,fable,REASON_SWAP,1,Reason code is wrong: an include cannot carry EC8_GENERIC_ANALYSIS; this benchmark framework for co-scientist agents should be IC2.
a2-0068,2504.01911,fable,none,0,Multi-agent physics reasoning/interpretation framework for AI-augmented research; SYSTEM L0_ASSISTIVE METHOD is defensible.
a2-0069,2503.01508,fable,none,0,Domain-agnostic novelty-assessment algorithm for AI-generated research ideas fits IC2 FRAMEWORK METHOD.
a2-0070,2510.14861,fable,none,0,AI co-scientist system working alongside human experimenters; SYSTEM L0_ASSISTIVE CAPABILITY defensible given XR human-in-the-loop framing.
a2-0071,2510.18104,fable,none,0,Explicit call-to-action agenda for autonomous research labs; IC3 POSITION NA CONCEPTUAL is exactly right.
a2-0072,2410.09403,fable,CODE_DRIFT,1,"recorded_paper_type is wrong: VirSci is a new multi-agent ideation SYSTEM, not a CASE_STUDY."
a2-0073,2606.26246,fable,none,0,Research map plus multi-stage deep research report agent; IC1 SYSTEM L2_PIPELINE CAPABILITY defensible.
a2-0074,2511.13825,fable,none,0,External audit of an autonomous AI scientist's outputs; IC3 CASE_STUDY L3_CLOSED_LOOP CAPABILITY all fit.
a2-0075,2506.20249,fable,none,0,"Genesys runs ideation through implementation, training and verification autonomously and claims competitive discovered architectures; codes fit."
a2-0076,2605.26029,fable,none,0,Environment/benchmark for evaluating interactive causal discovery agents; IC2 BENCHMARK NA METHOD correct.
a2-0077,2511.02238,fable,none,0,Ideation agent framework with critic engine performing one research stage end-to-end; codes fit.
a2-0078,2602.18446,fable,none,0,Benchmark and judge for auditability/logical quality of deep research reports; IC2 BENCHMARK METHOD correct.
a2-0079,2605.30329,fable,none,0,"Benchmark testing whether LLMs can judge research-proposal soundness, a core AI-scientist evaluation; IC2 BENCHMARK METHOD correct."
a2-0060,2604.22861,opus,none,0,Agent performs literature-grounded evidence extraction and synthesis (a research-lifecycle stage) plus its own benchmark; SYSTEM/L1_STAGE/CAPABILITY all fit.
a2-0061,2511.11793,opus,none,0,"Deep-research agent with multi-step search and synthesis, explicitly in scope under IC1; SYSTEM/L1_STAGE/CAPABILITY are right."
a2-0062,2502.04644,opus,none,1,"recorded_autonomy NA is wrong: the paper demonstrates a running deep-research system (web search, code execution, mind-map memory) matching OpenAI Deep Research, so it should be L1_STAGE."
a2-0063,2603.20101,opus,none,1,"recorded_autonomy NA is wrong: the paper builds a research agent that iteratively designs experiments and refines hypotheses across six circuit-analysis tasks, i.e. L3_CLOSED_LOOP."
a2-0064,2602.07943,opus,none,0,"Multi-agent system that proposes, critiques and refines instrumental variables is a research-design stage performed autonomously; codes fit."
a2-0065,2604.20441,opus,CODE_DRIFT,1,"recorded_claim_strength should be METHOD, not CAPABILITY: MedSkillAudit claims a better way to audit/govern research agent skills, it does not itself perform research tasks."
a2-0066,2603.07444,opus,none,0,Multi-agent empirical research pipeline with explicit human decision gates is correctly IC1 SYSTEM at L2_PIPELINE with a CAPABILITY claim.
a2-0067,2601.01678,opus,REASON_SWAP,1,recorded_reason is an exclusion code (EC8_GENERIC_ANALYSIS) attached to an include decision; a benchmark framework for co-scientist agents should be IC2.
a2-0068,2504.01911,opus,none,0,"Multi-agent physics framework for interpretable AI-conducted reasoning is defensibly included, and L0_ASSISTIVE/METHOD match its human-AI collaboration framing."
a2-0069,2503.01508,opus,none,0,Novelty-assessment algorithm is an evaluation methodology for AI-scientist idea generation; IC2/FRAMEWORK/NA/METHOD are consistent.
a2-0070,2510.14861,opus,none,0,AI-XR co-scientist that perceives and assists physical experimentation; assistive-but-agentic framing makes L0_ASSISTIVE/CAPABILITY defensible.
a2-0071,2510.18104,opus,none,0,Explicit call-to-action agenda for autonomous research labs; IC3/POSITION/NA/CONCEPTUAL are correct.
a2-0072,2410.09403,opus,CODE_DRIFT,1,"recorded_paper_type should be SYSTEM, not CASE_STUDY: VirSci is a new multi-agent system for idea generation evaluated against baselines."
a2-0073,2606.26246,opus,none,0,Literature-synthesis map plus multi-stage deep research report agent; SYSTEM/L2_PIPELINE/CAPABILITY fit.
a2-0074,2511.13825,opus,none,0,Audit case study of the autonomous KOSMOS scientist's outputs; IC3/CASE_STUDY/L3_CLOSED_LOOP/CAPABILITY are defensible.
a2-0075,2506.20249,opus,none,0,"Genesys runs ideation through implementation, pretraining and verification autonomously and claims genuinely novel architectures, so L3_CLOSED_LOOP/DISCOVERY fit."
a2-0076,2605.26029,opus,none,0,Environment/benchmark for evaluating interactive causal discovery by agents; IC2/BENCHMARK/NA/METHOD correct.
a2-0077,2511.02238,opus,none,0,Ideation system with explore-expand-evolve loop and critic; SYSTEM/L1_STAGE/CAPABILITY correct.
a2-0078,2602.18446,opus,none,0,Benchmark and judge for logical quality of deep research reports; IC2/BENCHMARK/NA/METHOD correct.
a2-0079,2605.30329,opus,none,0,Curated benchmark testing whether LLMs can judge research idea soundness; IC2/BENCHMARK/NA/METHOD correct.
a2-0080,2510.08619,fable,none,0,Autonomous agent network producing and peer-reviewing findings in a self-running loop; IC1/SYSTEM/L3/CAPABILITY all fit.
a2-0081,2503.16041,fable,none,0,"Deep-research report-generation system running retrieval, synthesis and verification without human gates; IC1/SYSTEM/L3/CAPABILITY defensible."
a2-0082,2607.12301,fable,REASON_SWAP,1,Reason code is wrong: an exclusion code (EC2) is recorded for an included paper; it should be IC1 (or IC3) for this autonomous research protocol/system.
a2-0083,2407.08940,fable,none,0,Dataset plus novel metrics for evaluating LLM hypothesis generation is a genuine IC2 benchmark with no system of its own.
a2-0084,2506.11113,fable,none,0,Robustness evaluation of LLM peer reviewers is an integrity/evaluation study; IC3 with BENCHMARK/NA/METHOD is defensible.
a2-0085,2509.08713,fable,none,0,Controlled evaluation methodology for detecting failure modes in AI scientist systems fits IC3 with BENCHMARK/NA/METHOD.
a2-0086,2605.11532,fable,none,0,PaperGym is an ideation pipeline plus rubric-based evaluation of LLM ideation; benchmark coding with METHOD claim is defensible.
a2-0087,2510.06579,fable,none,1,"Autonomy NA is wrong: TinyScientist ships a working end-to-end auto-research pipeline with human-in-the-loop controls, so it should be L2_PIPELINE."
a2-0088,2507.08870,fable,none,0,GUIDE is a system performing the review/advising stage end-to-end; IC1/SYSTEM/L1_STAGE/CAPABILITY fit.
a2-0089,2603.08127,fable,none,0,Self-evolving multi-agent AI scientist spanning ideation and execution with memory feedback; IC1/SYSTEM/L3/CAPABILITY fit.
a2-0090,2510.16080,fable,none,0,Multi-agent system doing data analysis plus literature-grounded validation; IC1/SYSTEM/L2/CAPABILITY defensible.
a2-0091,2411.11910,fable,none,0,Baby-AIGS is a full-process multi-agent research system with falsification loop; IC1/SYSTEM/L3/CAPABILITY fit.
a2-0092,2502.18864,fable,none,0,Hypothesis-generation stage system with in vitro validated candidates; L1_STAGE and DISCOVERY are both supported by the abstract.
a2-0093,2601.05356,fable,none,0,"PRISM designs, validates and executes protocols with an agentic decision loop, so IC1/SYSTEM/L2/CAPABILITY is defensible rather than EC2."
a2-0094,2508.06960,fable,none,0,Benchmark evaluating deep-research agents on dataset discovery; IC2/BENCHMARK/NA/METHOD fit.
a2-0095,2505.15047,fable,none,0,PiFlow is a plug-and-play principle-guided module for discovery agents; FRAMEWORK/NA/METHOD is defensible.
a2-0096,2604.17931,fable,none,0,"Training framework for deep research agents, which the protocol places in scope; FRAMEWORK/NA/METHOD fit."
a2-0097,2412.14141,fable,none,0,Implemented ideation system evaluated on OAG-Bench; IC1/SYSTEM/L1_STAGE/CAPABILITY fit.
a2-0098,2511.05498,fable,none,0,Explainability/context-retrieval method for hypothesis generation systems; FRAMEWORK/NA/METHOD fit.
a2-0099,2510.00620,fable,REASON_SWAP,1,Reason code is wrong: an exclusion code (EC7_HUMAN_AI_USE) is recorded for an included autonomous ideation system; it should be IC1.
a2-0080,2510.08619,opus,none,0,"Autonomous agent network producing and peer-reviewing findings; include/IC1, SYSTEM, L3, CAPABILITY all fit."
a2-0081,2503.16041,opus,none,0,Deep-research report-generation system with autonomous retrieve-write-review loop; codes are defensible.
a2-0082,2607.12301,opus,REASON_SWAP,1,Reason code is wrong: an included autonomous-research protocol/system cannot be justified by exclusion code EC2; should be IC1 (or IC3).
a2-0083,2407.08940,opus,none,0,Dataset plus metrics for evaluating LLM hypothesis generation; IC2/BENCHMARK/NA and CAPABILITY claim are defensible.
a2-0084,2506.11113,opus,none,0,Robustness evaluation of LLM automated reviewers bears on integrity of AI-conducted review; IC3 and evaluation-methodology coding are defensible.
a2-0085,2509.08713,opus,none,0,"Controlled evaluation methodology exposing integrity failures of AI scientist systems; IC3, NA autonomy and METHOD claim fit."
a2-0086,2605.11532,opus,none,0,PaperGym is a released ideation evaluation pipeline with rubric judges; include and BENCHMARK/METHOD are defensible.
a2-0087,2510.06579,opus,none,1,"Autonomy NA is wrong: TinyScientist ships a running auto-research pipeline (ideation, code execution, writing) with human-agent interaction, so at least L2_PIPELINE."
a2-0088,2507.08870,opus,none,0,"System that autonomously reviews/advises on research ideas (review stage); IC1, SYSTEM, L1_STAGE, CAPABILITY all fit."
a2-0089,2603.08127,opus,none,0,Self-evolving multi-agent AI scientist spanning ideation and execution; SYSTEM/L3/CAPABILITY correct.
a2-0090,2510.16080,opus,none,0,Multi-agent biomarker discovery plus literature-grounded validation; include IC1 with SYSTEM/L2/CAPABILITY is defensible.
